"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Gebäude 01-Dachfläche Süd: Sonnenhöhe ";"Gebäude 01-Dachfläche Süd: Einstrahlung auf die geneigte Fläche ";"Gebäude 01-Dachfläche Süd: Modultemperatur ";"Strom (AC) Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)  ";"Leerlaufspannung (MPP 1, Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)) ";"MPP-Spannung (MPP 1, Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)) ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Eigenverbrauch ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"Gebäude 01-Dachfläche Süd: Globalstrahlung horizontal ";"Gebäude 01-Dachfläche Süd: Verluste durch Abweichung vom Standardspektrum ";"Gebäude 01-Dachfläche Süd: Verluste durch Bodenreflexion (Albedo) ";"Gebäude 01-Dachfläche Süd: Gewinne durch Ausrichtung und Neigung der Modulebene ";"Gebäude 01-Dachfläche Süd: Verluste durch Abschattung ";"Gebäude 01-Dachfläche Süd: Reflexion an Moduloberfläche ";"Gebäude 01-Dachfläche Süd: Einstrahlung auf die Modul-Rückseite ";"Gebäude 01-Dachfläche Süd: Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV Globalstrahlung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Bifazialität ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Verschmutzung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch STC Konversion (Modul-Nennwirkungsgrad) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV Nennenergie ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Modulspezifische Teilabschattung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Schwachlichtverhalten ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Abweichung von der Nenn-Modultemperatur ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Dioden ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Mismatch (Herstellerangaben) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) *";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Unterschreitung der DC-Startleistung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen MPP-Spannungsbereich ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. DC-Strom ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. DC-Leistung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. AC-Leistung/cos phi ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch MPP Anpassung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Energie am WR-Eingang ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Verluste durch Abweichung der Eingangs- von der Nennspannung ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Verluste durch DC/AC-Wandlung ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Eigenverbrauch (Standby oder Nacht) ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Kabelverluste Gesamt ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: PV-Energie (AC) abzgl. Standby-Verbrauch ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Eingespeiste Energie ";
24.04. 20:00;0;0;8,38;-7,9543;0;8,42;-0,01087;0;0;0;0,14069;0,13819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
24.04. 21:00;0;0;8;-15,432;0;8,03;-0,01087;0;0;0;0,95375;0,95125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
24.04. 22:00;0;0;7,48;-21,354;0;7,52;-0,01087;0;0;0;0,44069;0,43819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
24.04. 23:00;0;0;7,24;-25,2;0;7,26;-0,01087;0;0;0;0,018753;0,016253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 00:00;0;0;7,34;-26,214;0;7,34;-0,01087;0;0;0;0,018598;0,016098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 01:00;0;0;7,32;-24,879;0;7,32;-0,01087;0;0;0;0,018756;0,016256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 02:00;0;0;7,47;-21,05;0;7,46;-0,01087;0;0;0;0,16753;0,16503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 03:00;0;0;7,6;-15,148;0;7,59;-0,01087;0;0;0;0,018803;0,016303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 04:00;0;0;7,65;-7,6893;0;7,65;-0,01087;0;0;0;0,018686;0,016186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 05:00;0,00159;0,0015741;7,71;0,84154;0,0014602;7,71;-0,01087;0;0;0;0,01861;0,01611;0;0;0,00159;-1,59E-05;2,8467E-05;-0,00014234;0;0;0;0,0014602;0,00159;-1,59E-05;2,8467E-05;-0,00014234;0;0;0;0,0014602;0,068435;0;0;-0,053715;0,01472;-0,01472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,068435;0;0;-0,053715;0,01472;0;-0,01472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 06:00;0,04227;0,041188;8,39;10,022;0,03835;9,31;0,94341;1440;720,94;0,013574;0;0,20341;0;0,20341;0,04227;-0,0004227;0,0007568;-0,0042545;0;0;0;0,03835;0,04227;-0,0004227;0,0007568;-0,0042545;0;0;0;0,03835;1,7973;0;0;-1,4107;0,38659;-0,044086;0;0,016127;0;0;0;-0,0017932;0,35684;0;-0,012241;0;0;0;0;0,3446;1,7973;0;0;-1,4107;0,38659;0;-0,044086;0,016127;0;0;0;-0,0017932;0,35684;0;-0,012241;0;0;0;0;0,3446;0,3446;0;-0,12761;0;0;0,21699;0,21699;0,3446;0;-0,12761;0;0;0,21699;0,21699;
25.04. 07:00;0,09573;0,092827;9,2;19,472;0,087923;11,41;3,6542;1440;755,82;0;0,05549;0,89595;0;0,84046;0,09573;-0,0009573;0,0017139;-0,0085636;0;0;0;0,087923;0,09573;-0,0009573;0,0017139;-0,0085636;0;0;0;0,087923;4,1206;0;0;-3,2343;0,88632;-0,037331;0;0,034601;0;0;0;-0,004418;0,87918;0;0;0;0;0;0;0,87918;4,1206;0;0;-3,2343;0,88632;0;-0,037331;0,034601;0;0;0;-0,004418;0,87918;0;0;0;0;0;0;0,87918;0,87918;0;-0,038719;0;0;0,84046;0,84046;0,87918;0;-0,038719;0;0;0,84046;0,84046;
25.04. 08:00;0,15282;0,14759;10,08;28,804;0,14127;13,72;6,0782;1440;767,36;1,2881;0;0,10994;0;0,10994;0,15282;-0,0015282;0,0027361;-0,012754;0;0;0;0,14127;0,15282;-0,0015282;0,0027361;-0,012754;0;0;0;0,14127;6,6209;0;0;-5,1968;1,4241;-0,021652;0;0,047458;0;0;0;-0,0072497;1,4427;0;0;0;0;0;0;1,4427;6,6209;0;0;-5,1968;1,4241;0;-0,021652;0,047458;0;0;0;-0,0072497;1,4427;0;0;0;0;0;0;1,4427;1,4427;0;-0,044696;0;0;1,398;1,398;1,4427;0;-0,044696;0;0;1,398;1,398;
25.04. 09:00;0,19638;0,19001;10,65;37,538;0,18196;15,43;7,9155;1440;771,38;1,8045;0;0,016094;0;0,016094;0,19638;-0,0019638;0,003516;-0,015972;0;0;0;0,18196;0,19638;-0,0019638;0,003516;-0,015972;0;0;0;0,18196;8,5277;0;0;-6,6934;1,8343;-0,0079066;0;0,052415;0;0;0;-0,0093939;1,8694;0;0;0;0;0;0;1,8694;8,5277;0;0;-6,6934;1,8343;0;-0,0079066;0,052415;0;0;0;-0,0093939;1,8694;0;0;0;0;0;0;1,8694;1,8694;0;-0,04883;0;0;1,8206;1,8206;1,8694;0;-0,04883;0;0;1,8206;1,8206;
25.04. 10:00;0,23071;0,22343;11,63;44,999;0,21399;17,27;9,3358;1440;771,06;2,1311;0;0,016116;0;0,016116;0,23071;-0,0023071;0,0041306;-0,018543;0;0;0;0,21399;0,23071;-0,0023071;0,0041306;-0,018543;0;0;0;0,21399;10,029;0;0;-7,8717;2,1572;0,0028952;0;0,050096;0;0;0;-0,011051;2,1991;0;0;0;0;0;0;2,1991;10,029;0;0;-7,8717;2,1572;0;0,0028952;0,050096;0;0;0;-0,011051;2,1991;0;0;0;0;0;0;2,1991;2,1991;0;-0,051884;0;0;2,1472;2,1472;2,1991;0;-0,051884;0;0;2,1472;2,1472;
25.04. 11:00;0,25757;0,24912;12,28;50,225;0,23923;18,64;10,439;1440;770,26;2,3847;0;0,016272;0;0,016272;0,25757;-0,0025757;0,0046115;-0,020379;0;0;0;0,23923;0,25757;-0,0025757;0,0046115;-0,020379;0;0;0;0,23923;11,212;0;0;-8,8;2,4116;0,011311;0;0,046257;0;0;0;-0,012346;2,4568;0;0;0;0;0;0;2,4568;11,212;0;0;-8,8;2,4116;0;0,011311;0,046257;0;0;0;-0,012346;2,4568;0;0;0;0;0;0;2,4568;2,4568;0;-0,055843;0;0;2,4009;2,4009;2,4568;0;-0,055843;0;0;2,4009;2,4009;
25.04. 12:00;0,26663;0,25779;12,81;52,14;0,24774;19,44;10,798;1440;768,9;2,3172;0;0,16622;0;0,16622;0,26663;-0,0026663;0,0047737;-0,020997;0;0;0;0,24774;0,26663;-0,0026663;0,0047737;-0,020997;0;0;0;0,24774;11,611;0;0;-9,1132;2,4974;0,01393;0;0,0419;0;0;0;-0,012766;2,5405;0;0;0;0;0;0;2,5405;11,611;0;0;-9,1132;2,4974;0;0,01393;0,0419;0;0;0;-0,012766;2,5405;0;0;0;0;0;0;2,5405;2,5405;0;-0,057032;0;0;2,4834;2,4834;2,5405;0;-0,057032;0;0;2,4834;2,4834;
25.04. 13:00;0,25997;0,25122;13,18;50,219;0,24156;19,68;10,51;1440;767,59;2,4011;0;0,016193;0;0,016193;0,25997;-0,0025997;0,0046545;-0,020461;0;0;0;0,24156;0,25997;-0,0025997;0,0046545;-0,020461;0;0;0;0,24156;11,321;0;0;-8,886;2,4351;0,011622;0;0,039023;0;0;0;-0,012429;2,4733;0;0;0;0;0;0;2,4733;11,321;0;0;-8,886;2,4351;0;0,011622;0,039023;0;0;0;-0,012429;2,4733;0;0;0;0;0;0;2,4733;2,4733;0;-0,056082;0;0;2,4173;2,4173;2,4733;0;-0,056082;0;0;2,4173;2,4173;
25.04. 14:00;0,22482;0,21819;12,8;44,989;0,20832;18,51;9,0421;1440;766,83;2,0635;0;0,016142;0;0,016142;0,22482;-0,0022482;0,0040252;-0,018276;0;0;0;0,20832;0,22482;-0,0022482;0,0040252;-0,018276;0;0;0;0,20832;9,7631;0;0;-7,6631;2,1;0,00025653;0;0,040874;0;0;0;-0,010706;2,1304;0;0;0;0;0;0;2,1304;9,7631;0;0;-7,6631;2,1;0;0,00025653;0,040874;0;0;0;-0,010706;2,1304;0;0;0;0;0;0;2,1304;2,1304;0;-0,050754;0;0;2,0797;2,0797;2,1304;0;-0,050754;0;0;2,0797;2,0797;
25.04. 15:00;0,19264;0,1867;13,44;37,525;0,17837;18,27;7,6787;1440;762,83;1,7499;0;0,016189;0;0,016189;0,19264;-0,0019264;0,003449;-0,015788;0;0;0;0,17837;0,19264;-0,0019264;0,003449;-0,015788;0;0;0;0,17837;8,3597;0;0;-6,5616;1,7981;-0,010447;0;0,036071;0;0;0;-0,0091188;1,8146;0;0;0;0;0;0;1,8146;8,3597;0;0;-6,5616;1,7981;0;-0,010447;0,036071;0;0;0;-0,0091188;1,8146;0;0;0;0;0;0;1,8146;1,8146;0;-0,048531;0;0;1,7661;1,7661;1,8146;0;-0,048531;0;0;1,7661;1,7661;
25.04. 16:00;0,14573;0,14134;13,36;28,789;0,13456;17,08;5,7075;1440;756,08;1,2965;0;0,016172;0;0,016172;0,14573;-0,0014573;0,0026091;-0,01232;0;0;0;0,13456;0,14573;-0,0014573;0,0026091;-0,01232;0;0;0;0,13456;6,3063;0;0;-4,9499;1,3565;-0,02521;0;0,031619;0;0;0;-0,0068144;1,3561;0;0;0;0;0;0;1,3561;6,3063;0;0;-4,9499;1,3565;0;-0,02521;0,031619;0;0;0;-0,0068144;1,3561;0;0;0;0;0;0;1,3561;1,3561;0;-0,04335;0;0;1,3127;1,3127;1,3561;0;-0,04335;0;0;1,3127;1,3127;
25.04. 17:00;0,09071;0,088298;13,03;19,457;0,08331;15,41;3,3086;1440;742,5;0;0,57746;1,3384;0;0,76099;0,09071;-0,0009071;0,0016241;-0,0081165;0;0;0;0,08331;0,09071;-0,0009071;0,0016241;-0,0081165;0;0;0;0,08331;3,9044;0;0;-3,0646;0,83983;-0,039612;0;0,023032;0;0;0;-0,0041162;0,81913;0;-0,019271;0;0;0;0;0,79986;3,9044;0;0;-3,0646;0,83983;0;-0,039612;0,023032;0;0;0;-0,0041162;0,81913;0;-0,019271;0;0;0;0;0,79986;0,79986;0;-0,038874;0;0;0,76099;0,76099;0,79986;0;-0,038874;0;0;0,76099;0,76099;
25.04. 18:00;0,03679;0,03604;12,53;10,007;0,033521;13,57;0,67376;1440;701,19;0;1,2912;1,4461;0;0,15496;0,03679;-0,0003679;0,00065869;-0,0035595;0;0;0;0,033521;0,03679;-0,0003679;0,00065869;-0,0035595;0;0;0;0,033521;1,571;0;0;-1,2331;0,33792;-0,044379;0;0,010063;0;0;0;-0,001518;0,30208;0;-0,010869;0;0;0;0;0,29121;1,571;0;0;-1,2331;0,33792;0;-0,044379;0,010063;0;0;0;-0,001518;0,30208;0;-0,010869;0;0;0;0;0,29121;0,29121;0;-0,13625;0;0;0,15496;0,15496;0,29121;0;-0,13625;0;0;0,15496;0,15496;
25.04. 19:00;0,00164;0,0016236;11,97;0,82712;0,0015062;12,12;-0,01087;0;0;0;0,13882;0,13632;0;0;0,00164;-1,64E-05;2,9361E-05;-0,00014681;0;0;0;0,0015062;0,00164;-1,64E-05;2,9361E-05;-0,00014681;0;0;0;0,0015062;0,070587;0;0;-0,055404;0,015183;-0,015183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,070587;0;0;-0,055404;0,015183;0;-0,015183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 20:00;0;0;11,25;-7,7023;0;11,31;-0,01087;0;0;0;0,20945;0,20695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 21:00;0;0;10,53;-15,159;0;10,58;-0,01087;0;0;0;0,4528;0,4503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 22:00;0;0;9,81;-21,058;0;9,86;-0,01087;0;0;0;0,65767;0,65517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
25.04. 23:00;0;0;9;-24,884;0;9,06;-0,01087;0;0;0;0,13962;0,13712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
26.04. 00:00;0;0;8,23;-25,888;0;8,29;-0,01087;0;0;0;0,018598;0,016098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
26.04. 01:00;0;0;7,42;-24,552;0;7,48;-0,01087;0;0;0;0,018734;0,016234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
26.04. 02:00;0;0;6,99;-20,73;0;7,02;-0,01087;0;0;0;0,018605;0,016105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
26.04. 03:00;0;0;6,5;-14,841;0;6,54;-0,01087;0;0;0;0,1672;0,1647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
26.04. 04:00;0;0;6,15;-7,3958;0;6,18;-0,01087;0;0;0;0,01868;0,01618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
26.04. 05:00;0,00334;0,0033066;6,17;1,1237;0,0030674;6,17;0,001196;1440;463,1;0;0,015786;0,016061;0;0,0002751;0,00334;-3,34E-05;5,98E-05;-0,000299;0;0;0;0,0030674;0,00334;-3,34E-05;5,98E-05;-0,000299;0;0;0;0,0030674;0,14376;0;0;-0,11284;0,030922;-0,018701;0;0,00069031;0;0;0;-6,4553E-05;0,012846;0;-0,00057591;0;0;0;0;0,01227;0,14376;0;0;-0,11284;0,030922;0;-0,018701;0,00069031;0;0;0;-6,4553E-05;0,012846;0;-0,00057591;0;0;0;0;0,01227;0,01227;0;-0,011995;0;0;0,0002751;0,0002751;0,01227;0;-0,011995;0;0;0,0002751;0,0002751;
26.04. 06:00;0,09631;0,070751;7,3;10,297;0,068424;8,94;2,7776;1440;751,92;0,44503;0;0,19382;0;0,19382;0,09631;-0,0009631;0,0017243;-0,028647;0;0;0;0,068424;0,09631;-0,0009631;0,0017243;-0,028647;0;0;0;0,068424;3,2068;0;0;-2,517;0,68976;-0,041096;0;0,031255;0;0;0;-0,0033996;0,67652;0;0;0;0;0;0;0,67652;3,2068;0;0;-2,517;0,68976;0;-0,041096;0,031255;0;0;0;-0,0033996;0,67652;0;0;0;0;0;0;0,67652;0,67652;0;-0,037678;0;0;0,63885;0,63885;0,67652;0;-0,037678;0;0;0,63885;0,63885;
26.04. 07:00;0,16779;0,14097;8,25;19,746;0,15394;12,16;6,6947;1440;774,91;0,87544;0;0,66434;0;0,66434;0,16779;-0,0016779;0,0030041;-0,015178;0;0;0;0,15394;0,16779;-0,0016779;0,0030041;-0,015178;0;0;0;0,15394;7,2145;0;0;-5,6627;1,5518;-0,016621;0;0,059121;0;0;0;-0,0079715;1,5863;0;0;0;0;0;0;1,5863;7,2145;0;0;-5,6627;1,5518;0;-0,016621;0,059121;0;0;0;-0,0079715;1,5863;0;0;0;0;0;0;1,5863;1,5863;0;-0,04655;0;0;1,5398;1,5398;1,5863;0;-0,04655;0;0;1,5398;1,5398;
26.04. 08:00;0,2499;0,21224;9,22;29,083;0,23886;15,42;10,529;1440;779,17;1,886;0;0,53555;0;0,53555;0,2499;-0,002499;0,0044742;-0,013016;0;0;0;0,23886;0,2499;-0,002499;0,0044742;-0,013016;0;0;0;0,23886;11,194;0;0;-8,7865;2,4079;0,012744;0;0,069544;0;0;0;-0,012451;2,4777;0;0;0;0;0;0;2,4777;11,194;0;0;-8,7865;2,4079;0;0,012744;0,069544;0;0;0;-0,012451;2,4777;0;0;0;0;0;0;2,4777;2,4777;0;-0,056145;0;0;2,4216;2,4216;2,4777;0;-0,056145;0;0;2,4216;2,4216;
26.04. 09:00;0,45291;0,28002;10,83;37,83;0,48262;23,27;21,054;1440;768,33;4,6077;0;0,23457;0;0,23457;0,45291;-0,0045291;0,0081089;0,026126;0;0;0;0,48262;0,45291;-0,0045291;0,0081089;0,026126;0;0;0;0,48262;22,618;0;0;-17,753;4,8651;0,075715;0;0,025659;0;0;0;-0,024832;4,9416;0;0;0;0;0;0;4,9416;22,618;0;0;-17,753;4,8651;0;0,075715;0,025659;0;0;0;-0,024832;4,9416;0;0;0;0;0;0;4,9416;4,9416;0;-0,099329;0;0;4,8423;4,8423;4,9416;0;-0,099329;0;0;4,8423;4,8423;
26.04. 10:00;0,42152;0,34;11,74;45,308;0,42324;23,17;18,455;1440;767,69;4,2286;0;0,016136;0;0,016136;0,42152;-0,0042152;0,0075469;-0,0016135;0;0;0;0,42324;0,42152;-0,0042152;0,0075469;-0,0016135;0;0;0;0,42324;19,835;0;0;-15,569;4,2665;0,064161;0;0,023716;0;0;0;-0,021772;4,3326;0;0;0;0;0;0;4,3326;19,835;0;0;-15,569;4,2665;0;0,064161;0,023716;0;0;0;-0,021772;4,3326;0;0;0;0;0;0;4,3326;4,3326;0;-0,0879;0;0;4,2447;4,2447;4,3326;0;-0,0879;0;0;4,2447;4,2447;
26.04. 11:00;0,50703;0,38046;12,69;50,551;0,52689;26,65;22,741;1440;759,4;5,2143;0;0,016164;0;0,016164;0,50703;-0,0050703;0,0090778;0,015855;0;0;0;0,52689;0,50703;-0,0050703;0,0090778;0,015855;0;0;0;0,52689;24,693;0;0;-19,382;5,3114;0,08024;0;-0,026749;0;0;0;-0,026825;5,3381;0;0;0;0;0;0;5,3381;24,693;0;0;-19,382;5,3114;0;0,08024;-0,026749;0;0;0;-0,026825;5,3381;0;0;0;0;0;0;5,3381;5,3381;0;-0,10764;0;0;5,2305;5,2305;5,3381;0;-0,10764;0;0;5,2305;5,2305;
