Stunde;2019;2020;2021;2022
145;0.04603;0.03075;0.05103;0.12892
146;0.04798;0.03103;0.05018;0.1184
147;0.04784;0.02988;0.04897;0.10301
148;0.04611;0.029;0.04672;0.10191
149;0.04608;0.02965;0.04687;0.10198
150;0.04762;0.03178;0.05008;0.11499
151;0.05577;0.04087;0.05734;0.14019
152;0.06861;0.04901;0.0678;0.15264
153;0.07415;0.05109;0.08651;0.16097
154;0.07493;0.05112;0.08654;0.16185
155;0.07359;0.04983;0.08508;0.16137
156;0.07123;0.04916;0.08874;0.16606
157;0.06879;0.04843;0.08876;0.16654
158;0.06675;0.04799;0.08431;0.16604
159;0.06247;0.04741;0.0804;0.16943
160;0.05325;0.04587;0.08357;0.1897
161;0.05326;0.0459;0.08968;0.20197
162;0.05342;0.04796;0.1;0.24311
163;0.04791;0.04811;0.09043;0.25381
164;0.04205;0.04363;0.08028;0.23705
165;0.04096;0.0336;0.0668;0.22433
166;0.03204;0.03293;0.06022;0.21381
167;0.02082;0.03129;0.05969;0.18594
168;0.00184;0.02628;0.05225;0.14832
169;0.01794;0.01895;0.05053;0.16417
170;0.02091;0.00496;0.04843;0.15283
171;0.00778;0.0001;0.04724;0.166
172;0.01433;0.00011;0.04561;0.16086
173;0.01856;0.00175;0.04681;0.16
174;0.01857;0.02074;0.05157;0.1543
175;0.03581;0.02557;0.06067;0.166
176;0.04387;0.03247;0.07956;0.18291
177;0.04693;0.03307;0.10354;0.21589
178;0.04388;0.03305;0.11045;0.231
179;0.04385;0.03418;0.10996;0.22895
180;0.04674;0.03963;0.10682;0.21539
181;0.04394;0.04135;0.10237;0.20668
182;0.04321;0.04483;0.09761;0.185
183;0.04381;0.04604;0.095;0.16952
184;0.0456;0.04633;0.09542;0.1628
185;0.03521;0.0479;0.095;0.16134
186;0.04564;0.05121;0.11;0.1899
187;0.04563;0.05592;0.10241;0.17071
188;0.03794;0.05369;0.08805;0.14023
189;0.03953;0.0481;0.06424;0.10254
190;0.03597;0.04492;0.05943;0.10218
191;0.02972;0.04167;0.0576;0.10229
192;0.02255;0.03941;0.05175;0.09005
193;0.02004;0.03408;0.05473;0.08503
194;0.00724;0.0322;0.05239;0.0844
195;0.00343;0.03256;0.05167;0.08024
196;0.01004;0.03235;0.05088;0.05546
197;0.0142;0.029;0.05002;0.04929
198;0.02541;0.03086;0.0491;0.05064
199;0.03698;0.03895;0.04957;0.07429
200;0.04389;0.04686;0.05382;0.08444
201;0.05098;0.04792;0.0598;0.09726
202;0.0503;0.04568;0.06692;0.11997
203;0.05021;0.04361;0.06771;0.13496
204;0.0458;0.04;0.068;0.1494
205;0.04364;0.03706;0.06701;0.16513
206;0.04349;0.03345;0.06253;0.16506
207;0.04505;0.0322;0.06;0.17009
208;0.04995;0.03186;0.06;0.18904
209;0.05382;0.03259;0.06278;0.19096
210;0.05594;0.04285;0.06992;0.2233
211;0.05419;0.04173;0.07199;0.24394
212;0.05419;0.04031;0.06895;0.24
213;0.05298;0.03296;0.06266;0.23082
214;0.05168;0.03072;0.05654;0.21402
215;0.04895;0.03102;0.05581;0.21588
216;0.04763;0.02914;0.05085;0.2038
217;0.04648;0.02694;0.05465;0.19623
218;0.04908;0.02659;0.05179;0.19185
219;0.04711;0.02581;0.05058;0.19591
220;0.0488;0.02589;0.04798;0.18666
221;0.0485;0.0262;0.0476;0.17804
222;0.0498;0.02695;0.04759;0.19165
223;0.05697;0.02895;0.04209;0.23744
224;0.0726;0.04329;0.04456;0.29995
225;0.08117;0.0474;0.04946;0.31392
226;0.08179;0.04063;0.05496;0.315
227;0.08115;0.03626;0.05363;0.31041
228;0.08;0.03205;0.05557;0.31008
229;0.07639;0.02864;0.05417;0.3
230;0.075;0.02845;0.05262;0.29701
231;0.07606;0.02823;0.05318;0.29996
232;0.0754;0.02956;0.05485;0.30645
233;0.07678;0.03643;0.05652;0.30273
234;0.08345;0.045;0.06209;0.31547
235;0.08515;0.04673;0.06341;0.31082
236;0.07816;0.04594;0.05639;0.29498
237;0.07192;0.04502;0.05564;0.26745
238;0.06743;0.04129;0.05333;0.24229
239;0.06049;0.0399;0.05205;0.21703
240;0.05445;0.03304;0.03724;0.19583
241;0.04784;0.03501;0.0449;0.21034
242;0.04658;0.034;0.04474;0.20242
243;0.04574;0.03143;0.04506;0.1976
244;0.04381;0.02914;0.04407;0.193
245;0.04624;0.02886;0.04453;0.1949
246;0.04646;0.02843;0.04274;0.20445
247;0.05129;0.02922;0.05462;0.23713
248;0.06053;0.03122;0.06711;0.29868
249;0.06002;0.03568;0.07059;0.30202
250;0.06292;0.04;0.05832;0.29716
251;0.06158;0.03801;0.05589;0.27702
252;0.0606;0.0379;0.05449;0.26643
253;0.05189;0.03608;0.05335;0.25492
254;0.0508;0.03296;0.04839;0.24889
255;0.04546;0.0311;0.04957;0.25501
256;0.0422;0.03225;0.05096;0.2779
257;0.045;0.03255;0.04912;0.28994
258;0.05151;0.04056;0.05344;0.3164
259;0.04859;0.03446;0.04794;0.3159
260;0.0492;0.03001;0.04216;0.3092
261;0.04499;0.02574;0.03803;0.28533
262;0.04493;0.02373;0.03424;0.24544
263;0.0464;0.02524;0.03401;0.23727
264;0.04346;0.02096;0.02739;0.21249
265;0.04724;0.02282;0.01896;0.19665
266;0.04588;0.01937;0.01582;0.1871
267;0.04461;0.01836;0.019;0.18427
268;0.0429;0.01834;0.02414;0.17958
269;0.04203;0.01816;0.027;0.17833
270;0.03933;0.01866;0.03594;0.1935
271;0.04298;0.01739;0.04096;0.24056
272;0.04123;0.01822;0.05451;0.27318
273;0.04212;0.0221;0.06064;0.3001
274;0.0451;0.02393;0.05496;0.29274
275;0.04427;0.02423;0.0565;0.2755
276;0.04418;0.02484;0.05788;0.25865
277;0.04205;0.02445;0.05964;0.24511
278;0.03861;0.02246;0.05494;0.23208
279;0.03776;0.02005;0.05155;0.23477
280;0.03303;0.02148;0.05556;0.24001
281;0.03584;0.02471;0.06301;0.255
282;0.04424;0.0265;0.0646;0.28482
283;0.04629;0.02668;0.06189;0.28597
284;0.04005;0.02616;0.0549;0.26903
285;0.03815;0.02562;0.05325;0.23525
286;0.03026;0.02553;0.04484;0.1915
287;0.0402;0.0271;0.03868;0.19369
288;0.03089;0.02614;0.03724;0.17218
289;0.02335;0.02182;0.03459;0.17314
290;0.0124;0.02398;0.03347;0.16169
291;0.01901;0.02523;0.03236;0.15358
292;0.02351;0.02485;0.03084;0.14707
293;0.02325;0.02501;0.03168;0.15247
294;0.02001;0.02732;0.03681;0.17126
295;0.0208;0.0384;0.04187;0.19203
296;0.02214;0.04864;0.04621;0.21524
297;0.02368;0.05293;0.05614;0.2359
298;0.02505;0.04989;0.04771;0.21999
299;0.0263;0.04889;0.04623;0.18008
300;0.03081;0.0472;0.04382;0.17016
301;0.02706;0.047;0.04122;0.15253
302;0.0085;0.04595;0.04004;0.13413
303;-0.00008;0.045;0.03947;0.17101
304;-0.00001;0.04596;0.04117;0.20159
305;-0.00027;0.04368;0.04591;0.20538
306;0.02155;0.04681;0.05549;0.2203
307;0.02404;0.04527;0.05451;0.21276
308;0.01591;0.04255;0.04928;0.21
309;-0.00002;0.0319;0.04865;0.19269
310;-0.00033;0.02668;0.04189;0.16446
311;0.00304;0.02596;0.041;0.1642
312;-0.00728;0.0234;0.03897;0.12209
313;-0.00314;0.02259;0.0373;0.12004
314;-0.012;0.0165;0.03691;0.11003
315;-0.01504;0.00889;0.03698;0.10824
316;-0.01109;0.00152;0.03982;0.10746
317;-0.00494;0.00158;0.0432;0.10982
318;0.00159;0.01413;0.04645;0.14052
319;0.0359;0.02523;0.06004;0.17604
320;0.05122;0.02713;0.0799;0.19097
321;0.05166;0.02855;0.08882;0.21699
322;0.04609;0.02768;0.08927;0.19691
323;0.05026;0.02742;0.08963;0.16292
324;0.04449;0.02743;0.09105;0.16004
325;0.04124;0.02768;0.08875;0.15401
326;0.03891;0.02956;0.0871;0.15229
327;0.04179;0.032;0.08398;0.18694
328;0.04963;0.03274;0.07996;0.21718
329;0.05093;0.03038;0.08342;0.22491
330;0.05125;0.038;0.10067;0.262
331;0.05093;0.03032;0.09016;0.26004
332;0.05052;0.02694;0.0877;0.23432
333;0.04961;0.02574;0.07458;0.21504
334;0.0443;0.02382;0.06274;0.20439
335;0.04129;0.0223;0.05982;0.19429
336;0.03726;0.0124;0.0556;0.1849
337;0.03518;0.01614;0.04898;0.22201
338;0.03582;0.00506;0.04866;0.20508
339;0.03499;0.00011;0.0477;0.19462
340;0.03456;0.00177;0.0466;0.18264
341;0.0308;0.00713;0.048;0.18783
342;0.03341;0.01786;0.05152;0.19058
343;0.0474;0.02518;0.06297;0.19027
344;0.05373;0.03552;0.07794;0.20446
345;0.05702;0.03656;0.09407;0.21284
346;0.05838;0.03333;0.09776;0.23
347;0.05654;0.02534;0.09069;0.22239
348;0.055;0.02498;0.08697;0.21492
349;0.05392;0.02505;0.07925;0.20843
350;0.05331;0.02512;0.07664;0.2
351;0.05263;0.02524;0.07714;0.20309
352;0.05212;0.03017;0.07698;0.21398
353;0.051;0.02998;0.082;0.22632
354;0.05391;0.03649;0.0995;0.26
355;0.04635;0.03546;0.09802;0.26703
356;0.04273;0.03528;0.09501;0.26141
357;0.04032;0.03365;0.0772;0.24362
358;0.03993;0.02957;0.06718;0.2201
359;0.03966;0.03359;0.06319;0.21285
360;0.03204;0.03046;0.05542;0.20941
361;0.02923;0.02838;0.05841;0.22592
362;0.02926;0.03026;0.05565;0.216
363;0.03264;0.02992;0.05216;0.18949
364;0.03241;0.02939;0.05118;0.18198
365;0.03306;0.02964;0.04951;0.17498
366;0.03322;0.0311;0.04852;0.16591
367;0.04663;0.03904;0.04874;0.11871
368;0.0538;0.04542;0.05143;0.11945
369;0.05573;0.0524;0.06116;0.12586
370;0.05383;0.047;0.06475;0.12946
371;0.05422;0.04351;0.06377;0.12599
372;0.05492;0.0421;0.06213;0.13183
373;0.05365;0.04036;0.05501;0.12301
374;0.05269;0.04116;0.05066;0.12249
375;0.05355;0.04291;0.04948;0.10267
376;0.05372;0.046;0.05065;0.12195
377;0.05483;0.04645;0.0577;0.115
378;0.05401;0.04461;0.06501;0.12542
379;0.05267;0.04315;0.0664;0.1124
380;0.05092;0.03886;0.06376;0.09749
381;0.03981;0.03342;0.05747;0.09014
382;0.03929;0.0308;0.05298;0.09709
383;0.03991;0.03156;0.0532;0.09385
384;0.03077;0.02864;0.05056;0.0872
385;0.02635;0.02736;0.04799;0.07808
386;0.02523;0.02716;0.04774;0.034
387;0.02277;0.02658;0.04718;0.01233
388;0.02402;0.02571;0.04609;0.01009
389;0.02563;0.02601;0.0458;0.01283
390;0.02806;0.02797;0.04542;0.03616
391;0.03538;0.03109;0.04646;0.09203
392;0.04604;0.0402;0.04764;0.1028
393;0.04996;0.0438;0.04742;0.126
394;0.05056;0.04294;0.05113;0.1009
395;0.0461;0.04234;0.0565;0.11203
396;0.04602;0.04079;0.05994;0.11125
397;0.04394;0.04104;0.05551;0.10058
398;0.04664;0.03994;0.05282;0.11165
399;0.055;0.03902;0.04995;0.12738
400;0.0559;0.04301;0.05348;0.16885
401;0.05743;0.0428;0.0606;0.19985
402;0.05872;0.04579;0.06705;0.24999
403;0.05506;0.046;0.072;0.25437
404;0.05385;0.04466;0.06778;0.23728
405;0.04952;0.04099;0.06245;0.22
406;0.04235;0.0339;0.05661;0.21594
407;0.04244;0.03338;0.05707;0.20916
408;0.04111;0.033;0.05134;0.18
409;0.04226;0.02215;0.05022;0.18894
410;0.04091;0.02486;0.04794;0.19268
411;0.04377;0.02224;0.04767;0.18009
412;0.04505;0.02536;0.0466;0.18809
413;0.04789;0.02539;0.04672;0.19399
414;0.04979;0.02596;0.04758;0.20507
415;0.05477;0.02299;0.06119;0.2291
416;0.07308;0.02846;0.07306;0.27371
417;0.07686;0.0281;0.07892;0.2944
418;0.07432;0.03773;0.07565;0.29064
419;0.07051;0.03521;0.07203;0.2754
420;0.06902;0.03334;0.06639;0.2651
421;0.06894;0.0292;0.06006;0.25
422;0.06527;0.03155;0.0577;0.24427
423;0.06744;0.03478;0.05941;0.24302
424;0.06814;0.03509;0.05739;0.24922
425;0.069;0.03727;0.05454;0.26
426;0.07504;0.0413;0.05994;0.278
427;0.07613;0.04304;0.05508;0.27639
428;0.07246;0.04191;0.05142;0.25503
429;0.06183;0.03859;0.04697;0.23728
430;0.05924;0.03513;0.04563;0.22419
431;0.0567;0.03348;0.04295;0.19078
432;0.05316;0.03122;0.03783;0.17549
433;0.05247;0.0331;0.03668;0.16901
434;0.05318;0.03067;0.03594;0.16348
435;0.05473;0.02947;0.03474;0.16293
436;0.05115;0.02879;0.03596;0.16001
437;0.05225;0.02771;0.0367;0.16316
438;0.05093;0.02726;0.03795;0.16559
439;0.04904;0.02782;0.04159;0.19839
440;0.05056;0.03001;0.04668;0.22742
441;0.05571;0.03147;0.05515;0.26165
442;0.05662;0.0352;0.0545;0.25267
443;0.06313;0.0352;0.05273;0.22175
444;0.05733;0.03447;0.0545;0.19362
445;0.05526;0.03336;0.05221;0.17014
446;0.05438;0.0299;0.05211;0.16047
447;0.05255;0.02992;0.05237;0.16413
448;0.05541;0.03086;0.05134;0.1805
449;0.06293;0.03307;0.05189;0.17926
450;0.06715;0.04298;0.0547;0.17399
451;0.06891;0.04424;0.05275;0.16734
452;0.05737;0.04389;0.04539;0.13561
453;0.05461;0.04114;0.04037;0.12505
454;0.05232;0.03674;0.03728;0.1209
455;0.05153;0.04;0.03539;0.11808
456;0.0498;0.03615;0.02998;0.09716
457;0.04774;0.03424;0.03033;0.09005
458;0.04701;0.03401;0.0284;0.07894
459;0.0488;0.03308;0.02662;0.07505
460;0.0489;0.0321;0.02513;0.07213
461;0.04963;0.0315;0.02876;0.07099
462;0.04953;0.03423;0.03092;0.0877
463;0.04669;0.04563;0.03556;0.09626
464;0.04676;0.05597;0.04023;0.11895
465;0.05088;0.06;0.04227;0.14051
466;0.05238;0.05701;0.0389;0.13027
467;0.05007;0.05063;0.03801;0.12847
468;0.04933;0.04817;0.03795;0.11195
469;0.04898;0.04396;0.03792;0.09415
470;0.0474;0.04302;0.03684;0.08554
471;0.0532;0.04311;0.0368;0.10537
472;0.05539;0.04495;0.03892;0.11132
473;0.05802;0.046;0.0403;0.13486
474;0.06668;0.05591;0.05139;0.17605
475;0.06943;0.05705;0.05752;0.19274
476;0.06975;0.05402;0.04534;0.18
477;0.06783;0.04868;0.0359;0.15233
478;0.05737;0.04151;0.03197;0.13791
479;0.05956;0.04;0.02949;0.13176
480;0.05207;0.03403;0.0253;0.12139
481;0.05554;0.03317;0.02485;0.11919
482;0.05302;0.03301;0.01932;0.11787
483;0.0521;0.03228;0.00894;0.11092
484;0.05131;0.03242;0.0009;0.11314
485;0.05114;0.0329;0.00002;0.11915
486;0.05323;0.033;0.01369;0.12073
487;0.06716;0.03798;0.02747;0.14876
488;0.07962;0.04977;0.03532;0.20759
489;0.08806;0.05236;0.03723;0.22315
490;0.08601;0.04807;0.03529;0.21579
491;0.08004;0.0421;0.03301;0.20651
492;0.075;0.03911;0.03338;0.20643
493;0.07065;0.03729;0.03369;0.19
494;0.07156;0.0381;0.03534;0.17008
495;0.07203;0.0426;0.03711;0.16929
496;0.07649;0.04771;0.04252;0.19
497;0.08108;0.04997;0.04467;0.17744
498;0.08835;0.05581;0.04563;0.17999
499;0.0885;0.05529;0.04505;0.16505
500;0.07993;0.0507;0.04491;0.14581
501;0.07369;0.04375;0.03559;0.13973
502;0.06834;0.04042;0.03196;0.13225
503;0.05983;0.03752;0.03181;0.13359
504;0.05493;0.03301;0.02409;0.12001
505;0.05419;0.0347;0.0091;0.12358
506;0.05405;0.03387;0.01392;0.1203
507;0.05352;0.0326;0.01108;0.11999
508;0.05197;0.03242;0.01151;0.1218
509;0.05196;0.03264;0.01624;0.12357
510;0.05203;0.033;0.02849;0.12368
511;0.06233;0.03912;0.03223;0.12
512;0.07391;0.04926;0.03766;0.14835
513;0.08023;0.05653;0.05152;0.186
514;0.0766;0.0505;0.04542;0.20746
515;0.07419;0.04627;0.04695;0.21125
516;0.07006;0.04502;0.05006;0.20969
517;0.06207;0.04282;0.05208;0.20083
518;0.05845;0.04345;0.05069;0.18854
