Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last ;Außentemperatur
14.03. 14:00;0,016318;4,6395;4,6232;1,65;10,91
14.03. 15:00;0,16468;3,4088;3,2441;1,33;10,84
14.03. 16:00;0,016211;2,3787;2,3625;1,48;10,35
14.03. 17:00;1,5624;0,60442;0;1,68;9,39
14.03. 18:00;0,65359;0;0;2,04;8,31
14.03. 19:00;0,21439;0;0;2,53;7,7
14.03. 20:00;0,60248;0;0;2,4;7,08
14.03. 21:00;0,79524;0;0;2,57;6,49
14.03. 22:00;0,089218;0;0;1,53;5,85
14.03. 23:00;0,016247;0;0;1,23;5,21
15.03. 00:00;0,016333;0;0;0,92;4,71
15.03. 01:00;0,16311;0;0;1,03;4,2
15.03. 02:00;0,0164;0;0;0,98;3,69
15.03. 03:00;0,016228;0;0;0,93;3,42
15.03. 04:00;0,016017;0;0;1,04;3,16
15.03. 05:00;0,016315;0;0;1,63;2,97
15.03. 06:00;0,47519;0;0;2,6;2,96
15.03. 07:00;0,30761;0,53703;0,22942;2,68;3,73
15.03. 08:00;0,023569;2,1543;2,1307;2,21;5,24
15.03. 09:00;0,015958;3,6894;3,6734;1,94;6,93
15.03. 10:00;0,016196;5,3236;5,3074;1,49;8,57
15.03. 11:00;0,16541;6,2746;6,1091;1,5;10,07
15.03. 12:00;0,016168;5,9861;5,9699;1,45;11,13
15.03. 13:00;0,016323;5,8071;5,7908;1,45;11,87
15.03. 14:00;0,016045;4,6204;4,6044;1,3;12,18
15.03. 15:00;0,016243;3,3301;3,3139;1,35;12,09
15.03. 16:00;0,16707;1,6986;1,5316;1,54;11,43
15.03. 17:00;0,76217;0,74847;0;1,84;10,5
15.03. 18:00;1,8263;0;0;1,89;9,4
15.03. 19:00;1,9718;0;0;2,36;8,83
15.03. 20:00;1,1378;0;0;2,54;8,26
15.03. 21:00;0,40958;0;0;2,49;7,69
15.03. 22:00;0,1479;0;0;1,29;7,12
15.03. 23:00;0,016169;0;0;1,23;6,57
16.03. 00:00;0,01623;0;0;1,15;6,05
16.03. 01:00;0,016024;0;0;0,88;5,49
16.03. 02:00;0,16816;0;0;0,78;4,92
16.03. 03:00;0,016241;0;0;0,87;4,62
16.03. 04:00;0,01621;0;0;1,22;4,31
16.03. 05:00;0,016218;0;0;1,88;4,09
16.03. 06:00;0,34432;0;0;2,84;4,05
16.03. 07:00;0,73854;0,29283;0;2,62;4,72
16.03. 08:00;0,34426;0,99217;0,64791;2,31;5,61
16.03. 09:00;2,2078;2,3928;0,18496;2,07;7,02
16.03. 10:00;2,8902;2,5532;0;2,17;7,98
16.03. 11:00;0,79968;3,0342;2,2345;1,9;8,88
16.03. 12:00;1,2658;3,6399;2,3741;1,4;9,73
16.03. 13:00;1,6514;4,6845;3,0331;1,96;10,61
16.03. 14:00;1,152;4,998;3,846;1,37;11,26
16.03. 15:00;1,0176;5,1221;4,1045;1,66;11,68
16.03. 16:00;2,9902;4,2622;1,2721;1,81;11,74
16.03. 17:00;3,4368;1,9177;0;2,11;11,13
16.03. 18:00;1,681;0,0017013;0;2,07;10,11
16.03. 19:00;0,37074;0;0;2,61;9,96
16.03. 20:00;0,29353;0;0;2,66;9,82
16.03. 21:00;0,85979;0;0;2,55;9,68
16.03. 22:00;0,99891;0;0;1,6;9,54
16.03. 23:00;0,015988;0;0;1,21;9,39
17.03. 00:00;0,016282;0;0;1,33;9,47
17.03. 01:00;0,0161;0;0;1,25;9,59
17.03. 02:00;0,016019;0;0;1,15;9,72
17.03. 03:00;0,16409;0;0;1,28;9,81
17.03. 04:00;0,016198;0;0;1,37;9,9
17.03. 05:00;0,016032;0;0;1,81;9,98
17.03. 06:00;0,19455;0;0;2,59;10,06
17.03. 07:00;0,35041;1,4255;1,0751;2,62;11,57
17.03. 08:00;0,37195;1,4905;1,1185;2,25;12,7
17.03. 09:00;0,29975;3,2192;2,9195;2,88;14,37
17.03. 10:00;0,016137;2,8464;2,8303;2,64;15,05
17.03. 11:00;0,13795;0,96107;0,82312;2,54;15,16
17.03. 12:00;1,1994;3,4164;2,2171;2,49;16,15
17.03. 13:00;1,4904;3,4087;1,9184;1,89;16,87
17.03. 14:00;0,13094;3,0804;2,9494;1,95;17,29
17.03. 15:00;0,40778;0,16089;0;1,92;16,36
17.03. 16:00;1,3162;1,3331;0,016864;1,76;16,25
17.03. 17:00;0,68243;1,6326;0,95016;2,3;16
17.03. 18:00;0,96294;0,00032167;0;2,81;15,32
17.03. 19:00;0,5235;0;0;2,78;14,46
17.03. 20:00;0,3867;0;0;2,94;13,63
17.03. 21:00;1,1306;0;0;2,92;12,8
17.03. 22:00;0,071017;0;0;1,98;11,97
17.03. 23:00;0,16458;0;0;2,01;11,14
18.03. 00:00;0,016088;0;0;2,11;10,04
18.03. 01:00;0,016241;0;0;2,26;8,87
18.03. 02:00;0,016405;0;0;2,11;7,7
18.03. 03:00;0,015926;0;0;2,21;7,07
18.03. 04:00;0,16734;0;0;2,21;6,46
18.03. 05:00;0,016306;0;0;3,17;6
18.03. 06:00;0,19221;0;0;4,17;5,93
18.03. 07:00;0,085361;0,86991;0,78455;3,89;6,93
18.03. 08:00;0,038883;2,7483;2,7094;3,57;8,46
18.03. 09:00;0,1667;4,8452;4,6785;3,49;10,27
18.03. 10:00;0,016327;6,784;6,7676;3,13;12,13
18.03. 11:00;0,016262;6,95;6,9337;3,31;13,53
18.03. 12:00;0,01608;7,0403;7,0242;3,12;14,59
18.03. 13:00;0,016177;6,7329;6,7167;2,82;15,33
18.03. 14:00;0,16556;6,4894;6,3238;2,68;15,72
18.03. 15:00;0,016125;4,7824;4,7663;2,56;15,68
18.03. 16:00;0,016218;3,7624;3,7462;2,84;15,24
18.03. 17:00;1,8252;1,5658;0;2,68;14,17
18.03. 18:00;1,2507;0,0015375;0;3,25;12,86
18.03. 19:00;0,44632;0;0;3,63;11,95
18.03. 20:00;1,2861;0;0;3,72;11,04
18.03. 21:00;0,45011;0;0;2,94;10,13
18.03. 22:00;0,49941;0;0;1,93;9,23
18.03. 23:00;0,38235;0;0;1,56;8,32
19.03. 00:00;0,16536;0;0;1,31;7,78
19.03. 01:00;0,016144;0;0;1,28;7,24
19.03. 02:00;0,01614;0;0;1,33;6,73
19.03. 03:00;0,016166;0;0;1,36;6,44
19.03. 04:00;0,016138;0;0;1,64;6,16
19.03. 05:00;0,1677;0;0;2,56;5,97
19.03. 06:00;0,19707;0;0;3,87;5,97
19.03. 07:00;0,3827;0,22654;0;3,48;6,67
19.03. 08:00;0,16745;1,238;1,0705;2,94;7,79
19.03. 09:00;0,016177;1,2417;1,2255;2,49;8,46
19.03. 10:00;0,16615;2,8888;2,7227;2,1;9,79
19.03. 11:00;0,016076;3,4374;3,4213;1,91;10,96
19.03. 12:00;0,016314;1,3841;1,3677;1,61;10,97
19.03. 13:00;0,016123;3,4809;3,4648;1,42;11,73
19.03. 14:00;0,016052;5,5841;5,5681;1,62;12,69
19.03. 15:00;0,16532;7,2298;7,0645;1,58;13,65
19.03. 16:00;0,016068;4,9888;4,9727;1,81;13,94
19.03. 17:00;0,44023;2,3867;1,9465;2,22;13,52
19.03. 18:00;1,2061;0,058377;0;2,35;12,6
19.03. 19:00;0,62433;0;0;2,78;11,78
19.03. 20:00;0,71849;0;0;3,04;10,97
19.03. 21:00;0,98518;0;0;3,52;10,15
19.03. 22:00;0,30212;0;0;1,89;9,33
19.03. 23:00;0,079105;0;0;1,58;8,51
20.03. 00:00;0,016348;0;0;1,47;7,72
20.03. 01:00;0,16552;0;0;1,52;6,93
20.03. 02:00;0,016255;0;0;1,46;6,06
20.03. 03:00;0,016014;0;0;1,88;5,61
20.03. 04:00;0,016075;0;0;1,9;5,15
20.03. 05:00;0,01625;0;0;2,97;4,83
20.03. 06:00;0,33977;0;0;4,05;4,81
20.03. 07:00;0,17748;0,69914;0,52166;3,86;5,29
20.03. 08:00;0,2366;0,10027;0;3,02;5,52
20.03. 09:00;0,01607;0,2434;0,22733;2,62;5,7
20.03. 10:00;0,016179;1,3096;1,2934;2,21;6,35
20.03. 11:00;0,16939;1,6376;1,4682;2,06;6,92
20.03. 12:00;0,016177;0,78649;0,77031;1,97;6,88
20.03. 13:00;0,016163;2,7692;2,753;1,67;7,59
20.03. 14:00;0,016211;3,4898;3,4736;1,47;8,17
20.03. 15:00;0,01616;3,8785;3,8624;1,73;8,78
20.03. 16:00;0,16785;2,9754;2,8075;1,84;8,97
20.03. 17:00;0,84776;2,0782;1,2304;2,15;8,88
20.03. 18:00;1,5113;0,0067719;0;2,32;8,29
20.03. 19:00;0,56655;0;0;2,58;7,66
20.03. 20:00;0,29516;0;0;2,65;7,08
20.03. 21:00;0,40655;0;0;2,79;6,42
20.03. 22:00;0,30181;0;0;1,41;5,77
20.03. 23:00;0,016035;0;0;1,16;5,12
21.03. 00:00;0,01628;0;0;1,06;4,68
21.03. 01:00;0,016262;0;0;1,02;4,2
21.03. 02:00;0,1662;0;0;0,93;3,72
21.03. 03:00;0,016259;0;0;0,95;3,47
21.03. 04:00;0,01589;0;0;1,08;3,21
21.03. 05:00;0,016197;0;0;1,77;3,03
21.03. 06:00;0,19632;0;0;2,43;3,04
21.03. 07:00;0,47829;0,21454;0;2,62;3,67
21.03. 08:00;0,087407;1,4823;1,3949;2,27;5,02
21.03. 09:00;0,016217;2,5907;2,5745;2,07;6,5
21.03. 10:00;0,016047;7,1272;7,1111;1,7;9,04
21.03. 11:00;0,016233;1,2784;1,2622;1,7;8,77
21.03. 12:00;0,16894;1,1194;0,95047;1,36;8,49
21.03. 13:00;0,016344;3,0854;3,0691;1,27;8,92
21.03. 14:00;0,016075;7,5076;7,4915;1,27;10,24
21.03. 15:00;0,016101;5,5853;5,5692;1,3;10,79
21.03. 16:00;0,016119;5,0619;5,0457;1,47;11,04
21.03. 17:00;1,4248;0,41822;0;1,74;10,1
21.03. 18:00;1,112;0,00019843;0;2,01;9,07
21.03. 19:00;0,97238;0;0;2,27;8,87
21.03. 20:00;0,39364;0;0;2,44;8,66
21.03. 21:00;1,4689;0;0;2,2;8,46
21.03. 22:00;0,57306;0;0;1,55;8,26
21.03. 23:00;0,016214;0;0;1,09;8,05
22.03. 00:00;0,016195;0;0;1,14;8
22.03. 01:00;0,016284;0;0;0,95;7,98
22.03. 02:00;0,016088;0;0;1,07;7,95
22.03. 03:00;0,16892;0;0;1,16;7,95
22.03. 04:00;0,016186;0;0;1,27;7,95
22.03. 05:00;0,016393;0;0;1,85;7,95
22.03. 06:00;0,15961;0;0;2,72;8
22.03. 07:00;0,26853;0,16001;0;2,64;8,63
22.03. 08:00;0,18559;0,7926;0,60701;2,24;9,47
22.03. 09:00;0,016234;1,3305;1,3142;1,74;10,36
22.03. 10:00;0,01607;1,6647;1,6486;1,52;11,15
22.03. 11:00;0,016197;1,6679;1,6517;1,41;11,7
22.03. 12:00;0,016082;1,9017;1,8856;1,57;12,18
22.03. 13:00;0,16723;1,9906;1,8234;1,24;12,56
22.03. 14:00;0,01611;1,8951;1,879;1,29;12,39
22.03. 15:00;0,016154;1,2788;1,2627;1,31;12,96
22.03. 16:00;0,015991;0,77441;0,75842;1,36;12,73
22.03. 17:00;1,1142;0,24873;0;1,43;12,31
22.03. 18:00;1,2632;8,08E-05;0;1,76;11,72
22.03. 19:00;0,37456;0;0;2,22;11,16
22.03. 20:00;0,33894;0;0;2,2;10,55
22.03. 21:00;1,092;0;0;2,08;9,94
22.03. 22:00;0,099754;0;0;1,11;9,21
22.03. 23:00;0,16531;0;0;1,04;8,52
23.03. 00:00;0,016045;0;0;0,86;8,01
23.03. 01:00;0,016279;0;0;0,99;7,24
23.03. 02:00;0,015979;0;0;0,89;6,5
23.03. 03:00;0,016153;0;0;0,93;6,07
23.03. 04:00;0,16543;0;0;1,08;5,65
23.03. 05:00;0,016375;0;0;1,56;5,33
23.03. 06:00;0,23321;0;0;2,33;5,33
23.03. 07:00;0,67004;0,33609;0;2,1;6,06
23.03. 08:00;0,27728;1,4875;1,2102;1,75;7,26
23.03. 09:00;1,2334;2,3069;1,0735;1,39;8,43
23.03. 10:00;3,3198;2,6619;0;1,01;9,37
23.03. 11:00;1,1088;1,1965;0,087713;0,92;9,31
23.03. 12:00;1,8408;2,3222;0,4814;0,86;9,74
23.03. 13:00;2,0842;2,5207;0,43651;0,86;9,85
23.03. 14:00;0,30428;1,8075;1,5032;0,73;10,1
23.03. 15:00;0,90492;7,5404;6,6355;0,83;11,23
23.03. 16:00;3,7968;4,3037;0,50696;0,9;11,46
23.03. 17:00;3,1826;1,1445;0;1,01;10,95
23.03. 18:00;2,0493;0,0033268;0;1,54;10,11
23.03. 19:00;0,61358;0;0;1,75;9,53
23.03. 20:00;0,26572;0;0;1,99;8,96
23.03. 21:00;1,2212;0;0;1,94;8,38
23.03. 22:00;0,31179;0;0;1,47;7,8
23.03. 23:00;0,01613;0;0;1,04;7,23
24.03. 00:00;0,16505;0;0;1,2;6,92
24.03. 01:00;0,016209;0;0;1,16;6,55
24.03. 02:00;0,016188;0;0;1,06;6,18
24.03. 03:00;0,016154;0;0;1,11;6
24.03. 04:00;0,016156;0;0;1,19;5,81
24.03. 05:00;0,16355;0;0;1,48;5,68
24.03. 06:00;0,15345;0;0;1,88;5,71
24.03. 07:00;0,26945;0,47428;0,20483;1,62;6,61
24.03. 08:00;0,22573;1,2605;1,0348;1,38;7,65
24.03. 09:00;0,29744;1,8855;1,5881;1,37;8,67
24.03. 10:00;0,43316;3,0642;2,631;1,42;9,92
24.03. 11:00;0,12481;3,658;3,5332;1,49;11,04
24.03. 12:00;0,57878;3,635;3,0562;1,32;11,85
24.03. 13:00;1,1988;3,4188;2,22;1,27;12,39
24.03. 14:00;1,0974;2,9254;1,828;1,1;12,65
24.03. 15:00;0,16601;1,9726;1,8066;1,02;12,55
24.03. 16:00;0,29772;1,1533;0,85557;0,96;12,09
24.03. 17:00;0,72931;0,49261;0;1,18;11,4
24.03. 18:00;0,78363;7,92E-05;0;1,26;10,58
24.03. 19:00;0,58817;0;0;1,64;10,03
24.03. 20:00;0,68498;0;0;1,63;9,44
24.03. 21:00;1,1299;0;0;1,63;8,85
24.03. 22:00;0,30586;0;0;1,42;8,24
24.03. 23:00;0,016202;0;0;1,35;7,44
25.03. 00:00;0,016194;0;0;1,07;7,26
25.03. 01:00;0,16738;0;0;1,46;6,72
25.03. 02:00;0,016246;0;0;1,14;6,13
25.03. 03:00;0,016111;0;0;1,1;5,82
25.03. 04:00;0,016191;0;0;1,2;5,28
25.03. 05:00;0,016275;0;0;1,48;5,24
25.03. 06:00;0,34527;5,69E-05;0;1,67;5,32
25.03. 07:00;0,4271;0,16342;0;1,56;5,83
25.03. 08:00;0,20502;1,1345;0,92945;1,28;6,87
25.03. 09:00;0,016224;4,6213;4,6051;1,51;9,13
25.03. 10:00;0,016138;5,8913;5,8752;1,57;11,11
25.03. 11:00;0,16534;3,3471;3,1818;1,52;11,76
25.03. 12:00;0,016121;3,3874;3,3713;1,25;12,24
25.03. 13:00;0,016114;2,1929;2,1768;1,13;12,21
25.03. 14:00;0,016006;1,9942;1,9782;1,09;12,05
25.03. 15:00;0,016144;1,8723;1,8561;1,02;11,83
25.03. 16:00;0,16912;1,9882;1,8191;1,02;11,62
25.03. 17:00;0,72843;0,53643;0;1,18;10,89
25.03. 18:00;1,6111;0,0001289;0;1,32;10,02
25.03. 19:00;0,63311;0;0;1,39;9,35
25.03. 20:00;0,33167;0;0;1,53;8,67
25.03. 21:00;0,448;0;0;1,74;8
25.03. 22:00;0,19242;0;0;1,11;7,32
25.03. 23:00;0,016265;0;0;1,04;6,67
26.03. 00:00;0,016112;0;0;0,89;6,14
26.03. 01:00;0,016162;0;0;0,76;5,57
26.03. 02:00;0,16374;0;0;0,85;4,99
26.03. 03:00;0,016122;0;0;0,81;4,68
26.03. 04:00;0,016181;0;0;0,84;4,37
26.03. 05:00;0,016152;0;0;1,1;4,15
26.03. 06:00;0,20907;0;0;1,57;4,14
26.03. 07:00;0,81751;0,43301;0;1,32;4,96
26.03. 08:00;0,016152;1,1603;1,1441;1;5,93
26.03. 09:00;0,01592;2,7638;2,7479;0,83;7,42
26.03. 10:00;0,01622;2,6373;2,621;0,68;8,33
26.03. 11:00;0,016084;4,4073;4,3912;0,7;9,63
26.03. 12:00;0,16739;4,7021;4,5347;0,63;10,65
26.03. 13:00;0,016257;3,6326;3,6163;0,65;11,12
26.03. 14:00;0,016205;2,3901;2,3739;0,59;11,12
26.03. 15:00;0,016135;2,5699;2,5538;0,55;11,13
26.03. 16:00;0,016007;1,1382;1,1222;0,65;10,54
26.03. 17:00;1,0413;0,64539;0;0,75;9,83
26.03. 18:00;1,14;0,001624;0;0,86;8,94
26.03. 19:00;1,2501;0;0;1,08;8,67
26.03. 20:00;0,51102;0;0;1,13;8,48
26.03. 21:00;1,4395;0;0;1,06;8,06
26.03. 22:00;0,41212;0;0;0,53;8,01
26.03. 23:00;0,016021;0;0;0,34;7,78
27.03. 00:00;0,016123;0;0;0,58;7,76
27.03. 01:00;0,015983;0;0;0,79;7,75
27.03. 02:00;0,016433;0;0;0,75;7,81
27.03. 03:00;0,16778;0;0;0,75;7,84
27.03. 04:00;0,015993;0;0;1,13;7,87
27.03. 05:00;0,016156;0;0;1,57;7,9
27.03. 06:00;0,26737;0;0;2,34;7,99
27.03. 07:00;0,34581;0,3444;0;2,31;8,62
27.03. 08:00;0,17429;1,0098;0,83551;1,99;9,98
27.03. 09:00;0,016315;2,2117;2,1954;1,51;11,53
27.03. 10:00;0,016073;2,2266;2,2105;1,27;12,56
27.03. 11:00;0,016255;2,7342;2,7179;1,16;13,55
27.03. 12:00;0,016263;2,2808;2,2646;1,05;13,99
27.03. 13:00;0,16501;3,5782;3,4132;1,1;14,96
27.03. 14:00;0,016149;4,2794;4,2632;0,92;15,82
27.03. 15:00;0,016056;3,8281;3,812;0,89;16,29
27.03. 16:00;0,01616;2,1112;2,095;0,97;16,23
27.03. 17:00;1,0376;0,93891;0;1,27;15,68
27.03. 18:00;1,3096;0,0018545;0;1,6;14,75
27.03. 19:00;0,39759;0;0;2,18;13,88
27.03. 20:00;0,32265;0;0;2,59;13,01
27.03. 21:00;0,71697;0;0;2,55;12,14
27.03. 22:00;0,62029;0;0;1,28;11,27
27.03. 23:00;0,16949;0;0;0,96;10,4
28.03. 00:00;0,01607;0;0;0,92;9,34
28.03. 01:00;0,016339;0;0;0,75;8,17
28.03. 02:00;0,016073;0;0;0,67;7,04
28.03. 03:00;0,016135;0;0;0,71;6,37
28.03. 04:00;0,16512;0;0;0,85;5,71
28.03. 05:00;0,016343;0;0;1,19;5,23
28.03. 06:00;0,19995;0,00078974;0;1,76;5,28
28.03. 07:00;0,70525;1,3328;0,62753;1,59;7,03
28.03. 08:00;0,11023;3,6269;3,5167;1,16;9,13
28.03. 09:00;0,16597;5,6174;5,4515;0,82;11,29
28.03. 10:00;0,016039;6,7553;6,7393;0,76;13,15
28.03. 11:00;0,016122;8,0387;8,0226;0,73;14,86
28.03. 12:00;0,016121;7,9599;7,9438;0,66;16,09
28.03. 13:00;0,016211;7,4048;7,3886;0,72;16,8
28.03. 14:00;0,16726;6,6888;6,5215;0,62;17,14
28.03. 15:00;0,016174;5,2872;5,271;0,64;17,07
28.03. 16:00;0,016323;3,2304;3,2141;0,65;16,32
28.03. 17:00;0,9432;1,5721;0,62894;0,85;15,13
28.03. 18:00;1,9291;0,014469;0;0,9;13,49
28.03. 19:00;0,65263;0;0;1,13;12,66
28.03. 20:00;0,39169;0;0;1,31;11,84
28.03. 21:00;0,37986;0;0;1,34;11,01
28.03. 22:00;0,15236;0;0;0,87;10,19
28.03. 23:00;0,015955;0;0;0,49;9,37
29.03. 00:00;0,16506;0;0;0,2;9,01
29.03. 01:00;0,01625;0;0;0,41;8,66
29.03. 02:00;0,016084;0;0;0,36;8,25
29.03. 03:00;0,016149;0;0;0,38;6,98
29.03. 04:00;0,016249;0;0;0,6;7,82
29.03. 05:00;0,16658;0;0;0,84;7,84
29.03. 06:00;0,19322;0;0;1,06;7,89
29.03. 07:00;0,58192;0,13112;0;0,99;7,78
29.03. 08:00;0,69997;0,58178;0;0,87;8,64
29.03. 09:00;3,6456;0,91287;0;0,67;9,35
29.03. 10:00;1,4081;1,0197;0;0,62;9,72
29.03. 11:00;0,92868;1,2063;0,27765;0,6;10,05
29.03. 12:00;0,044063;1,1929;1,1488;0,56;10,27
29.03. 13:00;0,74172;1,1475;0,40576;0,54;10,41
29.03. 14:00;0,44749;1,1216;0,67413;0,49;10,5
29.03. 15:00;0,45946;1,1929;0,73348;0,49;10,56
29.03. 16:00;0,6599;0,72188;0,061983;0,54;10,51
29.03. 17:00;1,193;0,23522;0;0,68;10,25
29.03. 18:00;1,0264;0,00040191;0;0,81;9,79
29.03. 19:00;0,55704;0;0;0,97;9,52
29.03. 20:00;1,6526;0;0;1,06;8,98
29.03. 21:00;1,1915;0;0;0,98;8,83
29.03. 22:00;0,18539;0;0;0,66;8,81
29.03. 23:00;0,016382;0;0;0,45;8,48
30.03. 00:00;0,016208;0;0;0,39;8,49
30.03. 01:00;0,16564;0;0;0,3;8,15
30.03. 02:00;0,016192;0;0;0,73;8,3
30.03. 03:00;0,016177;0;0;0,21;8,25
30.03. 04:00;0,016055;0;0;0,27;8,19
30.03. 05:00;0,016163;0;0;0,53;8,16
30.03. 06:00;0,34639;0;0;0,43;8,21
30.03. 07:00;0,33599;0,1625;0;0,4;8,74
30.03. 08:00;0,35118;0,58393;0,23274;0,65;9,32
30.03. 09:00;0,12856;1,0087;0,88014;1,05;9,98
30.03. 10:00;0,099829;1,1762;1,0764;1,04;10,48
30.03. 11:00;0,72272;1,5145;0,79181;1,16;11
30.03. 12:00;0,57703;1,7859;1,2088;0,98;11,51
30.03. 13:00;0,6015;1,4731;0,87158;0,85;11,76
30.03. 14:00;0,20538;1,158;0,95267;0,69;11,83
30.03. 15:00;0,30755;0,78758;0,48003;0,63;11,73
30.03. 16:00;2,9434;0,53003;0;0,62;11,51
30.03. 17:00;3,1251;0,18021;0;0,73;11,2
30.03. 18:00;1,9065;0,00088549;0;0,8;10,79
30.03. 19:00;0,82792;0;0;0,83;10,36
30.03. 20:00;0,35264;0;0;0,82;10,07
30.03. 21:00;0,62943;0;0;0,77;9,83
30.03. 22:00;0,15423;0;0;0,45;9,35
30.03. 23:00;0,016413;0;0;0,4;8,56
31.03. 00:00;0,016081;0;0;0,36;8,85
31.03. 01:00;0,016178;0;0;0,13;8,48
31.03. 02:00;0,16821;0;0;0,08;8,24
31.03. 03:00;0,016247;0;0;0,04;8,09
31.03. 04:00;0,016272;0;0;0,07;7,95
31.03. 05:00;0,016201;0;0;0,1;7,87
31.03. 06:00;0,19795;0,0003593;0;0,14;8,01
31.03. 07:00;0,47661;0,67895;0,20234;0,22;9,25
31.03. 08:00;0,40994;1,8046;1,3947;0,54;10,77
31.03. 09:00;0,23187;3,55;3,3182;0,94;12,67
31.03. 10:00;0,30147;5,5964;5,295;1,02;14,77
31.03. 11:00;0,69786;5,7549;5,057;1,04;16,34
31.03. 12:00;1,1827;4,8408;3,6581;0,83;17,22
31.03. 13:00;0,31071;2,6522;2,3415;0,73;17,23
31.03. 14:00;0,71122;4,5982;3,887;0,62;17,71
31.03. 15:00;0,73386;4,4411;3,7072;0,54;17,99
31.03. 16:00;0,06656;1,74;1,6735;0,59;17,41
31.03. 17:00;0,6336;0,32619;0;0,58;16,36
31.03. 18:00;0,19158;0,00040129;0;0,6;15,29
31.03. 19:00;0,93814;0;0;0,67;14
31.03. 20:00;0,72958;0;0;0,7;12,75
31.03. 21:00;0,95266;0;0;0,6;11,5
31.03. 22:00;0,29445;0;0;0,71;10,14
31.03. 23:00;0,016292;0;0;0,62;8,77
01.04. 00:00;0,016244;0;0;0,85;7,4
01.04. 01:00;0,016133;0;0;0,77;6,03
01.04. 02:00;0,016127;0;0;0,77;4,61
01.04. 03:00;0,16852;0;0;0,8;3,78
01.04. 04:00;0,016049;0;0;0,86;2,94
01.04. 05:00;0,016294;0;0;1,09;2,35
01.04. 06:00;0,20404;0,0061692;0;1,63;2,46
01.04. 07:00;0,1613;1,4016;1,2403;1,47;3,76
01.04. 08:00;0,56779;3,1112;2,5434;1,41;5,12
01.04. 09:00;0,69595;4,9425;4,2466;1,6;6,53
01.04. 10:00;0,016037;6,6035;6,5875;1,61;7,82
01.04. 11:00;3,2445;7,0306;3,7861;1,64;8,84
01.04. 12:00;1,8003;7,2907;5,4903;1,45;9,61
01.04. 13:00;1,3311;7,9198;6,5887;1,28;10,25
01.04. 14:00;1,0443;7,3538;6,3095;1,31;10,59
01.04. 15:00;0,44015;5,6299;5,1897;1;10,56
01.04. 16:00;0,074758;3,9752;3,9005;1,05;10,12
01.04. 17:00;0,93323;2,2238;1,2906;1,2;9,32
01.04. 18:00;0,24735;0,050171;0;1,69;8,15
01.04. 19:00;1,0009;0;0;2,12;7,22
01.04. 20:00;0,40027;0;0;2,1;6,31
01.04. 21:00;0,50463;0;0;1,65;5,34
01.04. 22:00;0,26344;0;0;1,12;4,38
01.04. 23:00;0,16936;0;0;0,95;3,41
02.04. 00:00;0,016267;0;0;0,93;3,03
02.04. 01:00;0,016112;0;0;0,82;2,62
02.04. 02:00;0,016353;0;0;0,76;2,22
02.04. 03:00;0,016264;0;0;0,93;2,02
02.04. 04:00;0,16673;0;0;1,31;1,81
02.04. 05:00;0,016118;0;0;1,72;1,66
02.04. 06:00;0,30886;0,010265;0;1,89;1,97
02.04. 07:00;1,009;1,7718;0,76277;1,36;3,94
02.04. 08:00;0,061378;3,392;3,3306;1,17;5,69
02.04. 09:00;0,49367;5,3512;4,8575;1,4;7,48
02.04. 10:00;0,097857;6,5497;6,4518;1,31;9,05
02.04. 11:00;0,01616;7,1981;7,182;1,34;10,36
02.04. 12:00;0,015798;7,7509;7,7351;1,34;11,45
02.04. 13:00;0,89186;7,3003;6,4084;1,09;12,16
02.04. 14:00;0,44627;6,3653;5,919;1;12,5
02.04. 15:00;0,035472;5,1667;5,1312;0,89;12,52
02.04. 16:00;0,22065;3,9692;3,7485;0,94;12,14
02.04. 17:00;0,94624;1,4928;0,54652;1,01;11,16
02.04. 18:00;0,14417;0,021366;0;1,11;9,89
02.04. 19:00;0,2743;0;0;1,14;8,82
02.04. 20:00;0,74823;0;0;1,29;7,75
02.04. 21:00;0,73994;0;0;1,21;6,71
02.04. 22:00;0,12675;0;0;0,71;5,6
02.04. 23:00;0,016079;0;0;0,52;4,49
03.04. 00:00;0,16546;0;0;0,55;3,44
03.04. 01:00;0,016165;0;0;0,41;2,33
03.04. 02:00;0,016041;0;0;0,36;1,22
03.04. 03:00;0,016487;0;0;0,37;0,63
03.04. 04:00;0,016207;0;0;0,46;0,05
03.04. 05:00;0,16463;0;0;0,67;-0,37
03.04. 06:00;0,30773;0,012775;0;1,45;-0,13
03.04. 07:00;0,75871;0,88233;0,12362;1,3;0,77
03.04. 08:00;0,31466;1,6264;1,3117;0,89;1,59
03.04. 09:00;0,024085;4,1309;4,1068;0,77;3,09
03.04. 10:00;0,16818;8,5566;8,3885;0,67;5,32
03.04. 11:00;0,088943;4,3549;4,266;0,62;5,87
03.04. 12:00;0,92986;9,866;8,9362;0,55;7,35
03.04. 13:00;0,1415;5,3626;5,2211;0,57;7,66
03.04. 14:00;0,043359;3,3292;3,2858;0,54;7,45
03.04. 15:00;0,18248;3,066;2,8835;0,5;7,13
03.04. 16:00;0,69792;2,8139;2,116;0,51;6,75
03.04. 17:00;1,351;0,60638;0;0,74;5,77
03.04. 18:00;0,43017;0,083824;0;0,76;4,8
03.04. 19:00;0,35242;0;0;0,97;3,87
03.04. 20:00;0,4796;0;0;0,98;3,48
