Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last ;Außentemperatur
05.01. 17:00;2,1471;0;0;1,85;5,38
05.01. 18:00;1,7238;0;0;2,14;5
05.01. 19:00;1,4114;0;0;2,46;4,61
05.01. 20:00;0,26845;0;0;2,47;4,22
05.01. 21:00;0,43476;0;0;2,35;3,83
05.01. 22:00;0,652;0;0;1,34;3,44
05.01. 23:00;0,13737;0;0;1,46;3,05
06.01. 00:00;0,016175;0;0;1,17;2,68
06.01. 01:00;0,016148;0;0;1,08;2,29
06.01. 02:00;0,016284;0;0;1,11;1,89
06.01. 03:00;0,16627;0;0;0,95;1,68
06.01. 04:00;0,016018;0;0;1,19;1,47
06.01. 05:00;0,016113;0;0;1,6;1,26
06.01. 06:00;0,021287;0;0;1,9;1,11
06.01. 07:00;0,20384;0;0;1,75;0,96
06.01. 08:00;0,45768;0;0;1,83;0,95
06.01. 09:00;0,18425;0,073181;0;2,33;1,4
06.01. 10:00;0,11852;0,22657;0,10804;2,31;1,64
06.01. 11:00;1,2764;0,25796;0;2,3;2,06
06.01. 12:00;0,9835;0,054941;0;1,98;1,99
06.01. 13:00;0,43224;3,6687;3,2365;1,99;3,15
06.01. 14:00;1,0456;3,1259;2,0803;1,98;3,71
06.01. 15:00;0,22186;1,857;1,6352;1,9;3,73
06.01. 16:00;1,1838;0,00035863;0;1,84;3,17
06.01. 17:00;0,23567;0;0;2,08;2,94
06.01. 18:00;0,85327;0;0;2,19;2,72
06.01. 19:00;0,33448;0;0;2,26;2,49
06.01. 20:00;0,26862;0;0;2,4;2,27
06.01. 21:00;0,95266;0;0;2,3;2,04
06.01. 22:00;0,30265;0;0;1,43;1,82
06.01. 23:00;0,16698;0;0;1,5;1,6
07.01. 00:00;0,016028;0;0;1,2;1,48
07.01. 01:00;0,016008;0;0;1,23;1,39
07.01. 02:00;0,015937;0;0;0,98;1,31
07.01. 03:00;0,016078;0;0;0,99;1,28
07.01. 04:00;0,1647;0;0;1,16;1,22
07.01. 05:00;0,016171;0;0;1,4;1,23
07.01. 06:00;0,2066;0;0;1,92;1,22
07.01. 07:00;0,50388;0;0;1,93;1,21
07.01. 08:00;0,15157;0;0;1,96;1,27
07.01. 09:00;0,16627;0,013259;0;1,94;1,62
07.01. 10:00;0,016277;0,1075;0,09122;1,98;1,77
07.01. 11:00;0,016191;0,18084;0,16464;2,06;2,43
07.01. 12:00;0,01623;0,048018;0,031788;2,04;2,39
07.01. 13:00;0,015952;3,7543;3,7383;1,91;4,06
07.01. 14:00;0,1688;2,832;2,6632;1,63;4,82
07.01. 15:00;0,016221;2,2278;2,2115;2,05;4,99
07.01. 16:00;0,016067;0,0005284;0;1,83;4,4
07.01. 17:00;1,5926;0;0;2,17;4,12
07.01. 18:00;1,1666;0;0;2,36;3,84
07.01. 19:00;0,71929;0;0;2,53;3,56
07.01. 20:00;0,3464;0;0;2,42;3,28
07.01. 21:00;0,21601;0;0;2,17;3
07.01. 22:00;0,016184;0;0;1,29;2,72
07.01. 23:00;0,016144;0;0;0,94;2,44
08.01. 00:00;0,1637;0;0;0,81;2,04
08.01. 01:00;0,016315;0;0;0,7;1,62
08.01. 02:00;0,016215;0;0;0,58;1,2
08.01. 03:00;0,016188;0;0;0,58;0,99
08.01. 04:00;0,016275;0;0;0,8;0,78
08.01. 05:00;0,16138;0;0;1,59;0,56
08.01. 06:00;0,2304;0;0;2,36;0,42
08.01. 07:00;0,80223;0;0;2,49;0,27
08.01. 08:00;0,20534;0;0;2,07;0,22
08.01. 09:00;0,01622;0,008838;0;1,99;0,25
08.01. 10:00;0,16449;0,030921;0;1,66;0,64
08.01. 11:00;0,016055;0,10972;0,093661;1,63;0,82
08.01. 12:00;0,016043;0,23738;0,22134;1,51;1,07
08.01. 13:00;0,016364;2,972;2,9557;1,41;2,15
08.01. 14:00;0,016061;4,6843;4,6683;1,53;2,94
08.01. 15:00;0,16737;2,4407;2,2733;1,45;3,05
08.01. 16:00;0,01626;0,00096666;0;1,74;2,54
08.01. 17:00;0,99374;0;0;1,91;2,16
08.01. 18:00;1,673;0;0;2,08;1,78
