Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last 
06.01. 15:00;0,22186;1,857;1,6352;6,3
06.01. 16:00;1,1838;0,00035863;0;5,9
06.01. 17:00;0,23567;0;0;6,6
06.01. 18:00;0,85327;0;0;6,6
06.01. 19:00;0,33448;0;0;7
06.01. 20:00;0,26862;0;0;7,6
06.01. 21:00;0,95266;0;0;7
06.01. 22:00;0,30265;0;0;4,1
06.01. 23:00;0,16698;0;0;4,2
07.01. 00:00;0,016028;0;0;3,8
07.01. 01:00;0,016008;0;0;4,1
07.01. 02:00;0,015937;0;0;3,7
07.01. 03:00;0,016078;0;0;3,9
07.01. 04:00;0,1647;0;0;4,4
07.01. 05:00;0,016171;0;0;5,7
07.01. 06:00;0,2066;0;0;7,9
07.01. 07:00;0,50388;0;0;7,6
07.01. 08:00;0,15157;0;0;7,1
07.01. 09:00;0,16627;0,013259;0;6,1
07.01. 10:00;0,016277;0,1075;0,09122;6
07.01. 11:00;0,016191;0,18084;0,16464;6,1
07.01. 12:00;0,01623;0,048018;0,031788;5,6
07.01. 13:00;0,015952;3,7543;3,7383;5,8
07.01. 14:00;0,1688;2,832;2,6632;5
07.01. 15:00;0,016221;2,2278;2,2115;6
07.01. 16:00;0,016067;0,0005284;0;6,2
07.01. 17:00;1,5926;0;0;6,6
07.01. 18:00;1,1666;0;0;7,4
07.01. 19:00;0,71929;0;0;7,9
07.01. 20:00;0,3464;0;0;7,4
07.01. 21:00;0,21601;0;0;7
07.01. 22:00;0,016184;0;0;4,1
07.01. 23:00;0,016144;0;0;3,5
08.01. 00:00;0,1637;0;0;3,4
08.01. 01:00;0,016315;0;0;3,2
08.01. 02:00;0,016215;0;0;3
08.01. 03:00;0,016188;0;0;3
08.01. 04:00;0,016275;0;0;3,9
08.01. 05:00;0,16138;0;0;6
08.01. 06:00;0,2304;0;0;7,8
08.01. 07:00;0,80223;0;0;7,8
08.01. 08:00;0,20534;0;0;6,6
08.01. 09:00;0,01622;0,008838;0;6,3
08.01. 10:00;0,16449;0,030921;0;5,9
08.01. 11:00;0,016055;0,10972;0,093661;5,6
08.01. 12:00;0,016043;0,23738;0,22134;5,2
08.01. 13:00;0,016364;2,972;2,9557;5
08.01. 14:00;0,016061;4,6843;4,6683;5,7
08.01. 15:00;0,16737;2,4407;2,2733;5,5
08.01. 16:00;0,01626;0,00096666;0;5,8
08.01. 17:00;0,99374;0;0;6,1
08.01. 18:00;1,673;0;0;6,8
08.01. 19:00;0,65171;0;0;7,1
08.01. 20:00;0,38149;0;0;7,5
08.01. 21:00;0,41582;0;0;7,2
08.01. 22:00;0,19684;0;0;4,4
08.01. 23:00;0,016057;0;0;3,6
09.01. 00:00;0,016144;0;0;3,4
09.01. 01:00;0,16487;0;0;3,2
09.01. 02:00;0,016242;0;0;3,6
09.01. 03:00;0,016142;0;0;3,5
09.01. 04:00;0,016284;0;0;3,9
09.01. 05:00;0,016295;0;0;5
09.01. 06:00;0,36339;0;0;7,3
09.01. 07:00;0,45709;0;0;7,4
09.01. 08:00;0,20024;0;0;6,1
09.01. 09:00;0,043926;0,014409;0;5,9
09.01. 10:00;0,0161;0,023456;0,0073558;5,3
09.01. 11:00;0,16728;0,13357;0;4,9
09.01. 12:00;0,016173;0,11856;0,10238;4,6
09.01. 13:00;0,016177;4,8487;4,8325;4,6
09.01. 14:00;0,016292;4,2104;4,1941;4,8
