Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last 
05.04. 18:00;0,79926;0,20303;0;5,8
05.04. 19:00;0,33667;0;0;6,1
05.04. 20:00;1,2077;0;0;5,6
05.04. 21:00;0,4139;0;0;5,7
05.04. 22:00;0,70803;0;0;3,6
05.04. 23:00;0,33986;0;0;3
06.04. 00:00;0,016207;0;0;2,5
06.04. 01:00;0,016138;0;0;2,8
06.04. 02:00;0,016293;0;0;2,7
06.04. 03:00;0,16486;0;0;2,8
06.04. 04:00;0,016184;0;0;2,6
06.04. 05:00;0,016266;0;0;3,7
06.04. 06:00;0,016338;0,031424;0,015086;4,6
06.04. 07:00;0,89777;1,8204;0,92259;4,3
06.04. 08:00;0,53579;4,0365;3,5007;3,3
06.04. 09:00;0,01605;6,1351;6,1191;3
06.04. 10:00;0,016111;7,3221;7,306;2,5
06.04. 11:00;0,29502;8,4836;8,1886;1,9
06.04. 12:00;3,9124;8,8096;4,8972;1,9
06.04. 13:00;2,2036;8,2055;6,0019;1,6
06.04. 14:00;1,0438;6,9847;5,9409;1,8
06.04. 15:00;1,0302;5,4625;4,4323;1,8
06.04. 16:00;0,53357;3,4259;2,8923;1,8
06.04. 17:00;2,1567;1,6535;0;2,1
06.04. 18:00;0,75803;0,18431;0;2,8
06.04. 19:00;0,99536;0;0;3,2
06.04. 20:00;0,33866;0;0;3,8
06.04. 21:00;0,41481;0;0;4,1
06.04. 22:00;1,1075;0;0;2,9
06.04. 23:00;0,37872;0;0;2,7
07.04. 00:00;0,016176;0;0;2,9
07.04. 01:00;0,016297;0;0;3,3
07.04. 02:00;0,016102;0;0;2,8
07.04. 03:00;0,01619;0;0;3,2
07.04. 04:00;0,17033;0;0;3
07.04. 05:00;0,016269;0;0;3,9
07.04. 06:00;0,016414;0,037249;0,020835;3,7
07.04. 07:00;0,85423;1,9152;1,061;3,1
07.04. 08:00;0,30485;4,1739;3,869;1,9
07.04. 09:00;0,17231;6,2586;6,0863;2,2
07.04. 10:00;0,15805;7,795;7,637;2
07.04. 11:00;0,5878;8,7565;8,1687;2
07.04. 12:00;0,73822;9,148;8,4097;1,9
07.04. 13:00;0,91624;8,8288;7,9125;1,8
07.04. 14:00;0,19104;7,9691;7,7781;1,7
07.04. 15:00;0,25327;6,4651;6,2119;1,6
07.04. 16:00;0,30982;4,5094;4,1996;1,7
07.04. 17:00;0,90908;2,2953;1,3862;1,9
07.04. 18:00;1,0694;0,21079;0;2
07.04. 19:00;0,21833;0;0;2,1
07.04. 20:00;0,62818;0;0;2,4
07.04. 21:00;0,52591;0;0;2,8
07.04. 22:00;0,016311;0;0;2
07.04. 23:00;0,016228;0;0;2,9
08.04. 00:00;0,16392;0;0;2,2
08.04. 01:00;0,016256;0;0;2,4
08.04. 02:00;0,016212;0;0;3
08.04. 03:00;0,016195;0;0;2,8
08.04. 04:00;0,016148;0;0;3,4
08.04. 05:00;0,16619;0;0;4,3
08.04. 06:00;0,63947;0,048678;0;4,3
08.04. 07:00;0,83206;1,5729;0,74082;3,6
08.04. 08:00;0,12835;3,7161;3,5878;3,3
08.04. 09:00;0,016074;5,7922;5,7762;3
08.04. 10:00;0,16449;6,4768;6,3123;2,5
08.04. 11:00;0,01631;8,4167;8,4004;2,2
08.04. 12:00;0,016133;8,0117;7,9956;2,1
08.04. 13:00;0,016243;7,6258;7,6096;1,9
08.04. 14:00;0,016122;5,099;5,0829;1,8
08.04. 15:00;0,16616;4,0167;3,8505;1,8
08.04. 16:00;0,016188;3,2923;3,2762;2,1
08.04. 17:00;2,4708;1,2149;0;2,2
08.04. 18:00;3,9723;0,20892;0;2,6
08.04. 19:00;1,0788;0;0;2,7
08.04. 20:00;0,97269;0;0;2,9
08.04. 21:00;0,1824;0;0;2,8
08.04. 22:00;0,065538;0;0;1,8
08.04. 23:00;0,016156;0;0;1,8
09.04. 00:00;0,01615;0;0;1,6
09.04. 01:00;0,16344;0;0;1,8
09.04. 02:00;0,016137;0;0;2,1
09.04. 03:00;0,016058;0;0;2,1
09.04. 04:00;0,01629;0;0;2,5
09.04. 05:00;0,016256;0;0;3,4
09.04. 06:00;0,78;0,092432;0;4
09.04. 07:00;0,43828;2,5529;2,1146;3,4
09.04. 08:00;0,022524;4,779;4,7565;2,8
09.04. 09:00;0,016252;6,6933;6,6771;2,1
09.04. 10:00;0,016155;7,0718;7,0556;1,7
09.04. 11:00;0,16422;5,2517;5,0874;1,5
09.04. 12:00;0,016315;1,8669;1,8506;1,5
09.04. 13:00;0,016132;0,49053;0,4744;2
09.04. 14:00;0,0162;0,40356;0,38736;2,2
09.04. 15:00;0,016062;0,26434;0,24827;1,9
09.04. 16:00;0,1643;0,12888;0;2,2
09.04. 17:00;1,3553;0,036008;0;2,3
09.04. 18:00;0,36805;0,0021002;0;2,3
09.04. 19:00;0,63527;0;0;2,6
09.04. 20:00;0,62946;0;0;2,9
09.04. 21:00;1,1688;0;0;3,1
09.04. 22:00;0,16094;0;0;2
09.04. 23:00;0,016214;0;0;1,8
10.04. 00:00;0,01618;0;0;2
10.04. 01:00;0,016192;0;0;2,5
10.04. 02:00;0,16559;0;0;3,1
10.04. 03:00;0,016207;0;0;3,4
10.04. 04:00;0,016205;0;0;3,7
10.04. 05:00;0,01619;0;0;4,9
10.04. 06:00;0,64829;0,1244;0;5,9
10.04. 07:00;0,88843;1,4828;0,59433;5,9
10.04. 08:00;0,024726;3,0887;3,0639;4,4
10.04. 09:00;0,016142;4,608;4,5918;3,6
10.04. 10:00;0,016236;6,1024;6,0862;3,1
10.04. 11:00;0,016112;7,4632;7,4471;2,8
10.04. 12:00;0,16618;6,8831;6,7169;2,4
10.04. 13:00;0,016163;5,9343;5,9182;2,4
10.04. 14:00;0,016188;5,7256;5,7094;2,1
10.04. 15:00;0,016195;4,9256;4,9094;2,4
10.04. 16:00;0,016219;4,1632;4,147;2,9
10.04. 17:00;1,4604;1,7567;0,2963;3,2
10.04. 18:00;0,54113;0,25621;0;3,9
10.04. 19:00;0,30719;0;0;4,5
10.04. 20:00;0,34806;0;0;4,9
10.04. 21:00;1,2883;0;0;4,8
10.04. 22:00;0,40974;0;0;3,5
10.04. 23:00;0,057011;0;0;3,8
11.04. 00:00;0,015875;0;0;4,2
11.04. 01:00;0,016057;0;0;4,7
11.04. 02:00;0,016127;0;0;4,3
11.04. 03:00;0,16512;0;0;5
11.04. 04:00;0,016109;0;0;5,3
11.04. 05:00;0,016157;0;0;6,9
11.04. 06:00;0,1861;0,071502;0;7,9
11.04. 07:00;0,28099;1,0711;0,79015;7,4
11.04. 08:00;0,55974;2,6646;2,1048;5,2
11.04. 09:00;0,016111;0,68343;0,66732;4,8
11.04. 10:00;0,016237;1,4918;1,4755;4,5
11.04. 11:00;0,016097;2,5387;2,5226;4,2
11.04. 12:00;0,016079;8,2913;8,2752;3,6
11.04. 13:00;0,16404;6,0865;5,9225;3,8
11.04. 14:00;0,015971;6,5001;6,4841;3,3
11.04. 15:00;0,016185;7,2608;7,2446;3,7
11.04. 16:00;0,016254;3,824;3,8077;4,2
11.04. 17:00;1,6153;0,81221;0;4,8
11.04. 18:00;0,16492;0,16296;0;5,6
11.04. 19:00;0,13992;0;0;6,3
11.04. 20:00;1,18;0;0;6,1
11.04. 21:00;1,3625;0;0;6,5
11.04. 22:00;0,50782;0;0;4,3
11.04. 23:00;0,36975;0;0;4,3
12.04. 00:00;0,016374;0;0;4,4
12.04. 01:00;0,016072;0;0;4
12.04. 02:00;0,016151;0;0;3,8
12.04. 03:00;0,016223;0;0;4,1
12.04. 04:00;0,16757;0;0;4,4
12.04. 05:00;0,016037;0;0;6,4
12.04. 06:00;0,016311;0,11502;0,098713;8,6
12.04. 07:00;0,86964;2,3019;1,4323;8,2
12.04. 08:00;0,022411;4,6563;4,6339;6,9
12.04. 09:00;0,16703;6,6902;6,5232;7
12.04. 10:00;0,016428;8,1607;8,1443;6,1
12.04. 11:00;0,016213;9,0296;9,0134;6,3
12.04. 12:00;0,016391;9,3096;9,2932;5,5
12.04. 13:00;0,016198;8,993;8,9768;5,6
12.04. 14:00;0,16829;8,1226;7,9543;5,7
12.04. 15:00;0,01611;6,6945;6,6784;5,8
12.04. 16:00;0,016211;4,7947;4,7785;6,1
12.04. 17:00;0,58044;2,5319;1,9515;6,6
12.04. 18:00;0,92215;0,27942;0;7,8
12.04. 19:00;0,45499;0;0;7,5
12.04. 20:00;0,54543;0;0;8,1
12.04. 21:00;1,2863;0;0;7,7
12.04. 22:00;0,26999;0;0;5,1
12.04. 23:00;0,016197;0;0;4
13.04. 00:00;0,16631;0;0;4,6
13.04. 01:00;0,016109;0;0;4,4
13.04. 02:00;0,016391;0;0;4,5
13.04. 03:00;0,01611;0;0;4,4
13.04. 04:00;0,016217;0;0;5
13.04. 05:00;0,16674;0;0;7,7
13.04. 06:00;0,19658;0,20291;0,006328;9,9
13.04. 07:00;0,99875;1,9261;0,92734;8
13.04. 08:00;0,19644;3,7737;3,5772;7,8
13.04. 09:00;0,60939;5,4435;4,8341;6,9
13.04. 10:00;1,4519;6,6109;5,159;6,5
13.04. 11:00;0,13913;7,2933;7,1541;6,1
13.04. 12:00;0,22535;7,4638;7,2384;6,3
13.04. 13:00;3,5679;7,1559;3,588;5,8
13.04. 14:00;3,1768;6,4832;3,3064;5,7
13.04. 15:00;1,4653;5,3173;3,852;6,3
13.04. 16:00;1,926;3,7817;1,8557;7
13.04. 17:00;4,6939;1,9954;0;7,2
13.04. 18:00;2,041;0,34102;0;8,1
13.04. 19:00;1,346;0;0;8,2
13.04. 20:00;0,76388;0;0;8,6
13.04. 21:00;0,34388;0;0;9,1
13.04. 22:00;0,16304;0;0;6
13.04. 23:00;0,016162;0;0;5,4
14.04. 00:00;0,016195;0;0;5,4
14.04. 01:00;0,16959;0;0;5,3
14.04. 02:00;0,016473;0;0;4,9
14.04. 03:00;0,016047;0;0;5
14.04. 04:00;0,016008;0;0;5,1
14.04. 05:00;0,016199;0;0;6,6
14.04. 06:00;0,5954;0,18599;0;8,2
14.04. 07:00;0,63546;1,8058;1,1703;8,4
14.04. 08:00;0,37174;2,5901;2,2184;6,1
14.04. 09:00;0,31155;3,513;3,2014;6,2
14.04. 10:00;0,13438;5,6235;5,4891;5,6
14.04. 11:00;0,72964;6,1285;5,3988;5,2
14.04. 12:00;0,60675;3,8089;3,2021;4,9
14.04. 13:00;1,0735;4,2543;3,1808;4,2
14.04. 14:00;0,14028;3,5287;3,3884;4,1
14.04. 15:00;0,98897;1,9233;0,9343;4,2
14.04. 16:00;0,57883;1,7611;1,1823;4,6
14.04. 17:00;1,1934;1,0708;0;5,1
14.04. 18:00;0,55054;0,002748;0;5,8
14.04. 19:00;0,30871;0;0;6,6
14.04. 20:00;1,2393;0;0;7
14.04. 21:00;0,38853;0;0;7,5
14.04. 22:00;0,47609;0;0;4,9
14.04. 23:00;0,1414;0;0;4,4
15.04. 00:00;0,016096;0;0;3,6
15.04. 01:00;0,016058;0;0;3,5
15.04. 02:00;0,16736;0;0;3,6
15.04. 03:00;0,016254;0;0;3,3
15.04. 04:00;0,016175;0;0;3,5
15.04. 05:00;0,01608;0;0;4,3
15.04. 06:00;0,016045;0,27467;0,25862;4,7
15.04. 07:00;0,95818;2,0294;1,0713;4,5
15.04. 08:00;0,089789;3,8871;3,7973;4,1
15.04. 09:00;0,016118;5,5452;5,5291;3,6
15.04. 10:00;0,016044;6,7975;6,7814;3
15.04. 11:00;0,016018;6,5369;6,5209;2,4
15.04. 12:00;0,16829;7,0377;6,8695;2,3
15.04. 13:00;0,016261;7,4876;7,4713;2,2
15.04. 14:00;0,016283;6,0094;5,9931;2,1
15.04. 15:00;0,0163;4,9398;4,9235;2,1
15.04. 16:00;0,01607;3,4163;3,4003;2,1
15.04. 17:00;1,3383;1,8182;0,47995;2,3
15.04. 18:00;0,15648;0,3974;0,24092;2,6
15.04. 19:00;0,016078;0;0;3
15.04. 20:00;0,30557;0;0;3,2
15.04. 21:00;1,3286;0;0;3,4
15.04. 22:00;0,28823;0;0;2,3
15.04. 23:00;0,016248;0;0;2,1
16.04. 00:00;0,016063;0;0;2,2
16.04. 01:00;0,016254;0;0;2,4
16.04. 02:00;0,01624;0;0;2,3
16.04. 03:00;0,16377;0;0;3
16.04. 04:00;0,01626;0;0;3
16.04. 05:00;0,016197;0;0;3,6
16.04. 06:00;0,19422;0,27784;0,083626;4
16.04. 07:00;1,1162;2,215;1,0987;3,2
16.04. 08:00;0,31889;4,5115;4,1926;2,4
16.04. 09:00;0,016094;6,4851;6,4691;1,7
16.04. 10:00;0,016338;7,9877;7,9714;1,6
16.04. 11:00;0,016057;8,9042;8,8881;1,6
16.04. 12:00;0,016215;9,2079;9,1917;1,5
16.04. 13:00;0,17058;8,9343;8,7638;1,4
16.04. 14:00;0,016233;7,8662;7,85;1,4
16.04. 15:00;0,01605;6,263;6,247;1,5
16.04. 16:00;0,016151;4,2626;4,2464;1,6
16.04. 17:00;1,4046;2,1643;0,75968;1,7
16.04. 18:00;0,31898;0,42107;0,1021;2,1
16.04. 19:00;0,13932;0;0;2,9
16.04. 20:00;0,2393;0;0;3,2
16.04. 21:00;1,204;0;0;3,4
16.04. 22:00;0,39143;0;0;1,8
16.04. 23:00;0,28951;0;0;1,5
17.04. 00:00;0,01614;0;0;1,3
17.04. 01:00;0,016084;0;0;1,3
17.04. 02:00;0,01627;0;0;1,5
17.04. 03:00;0,016227;0;0;1,6
17.04. 04:00;0,16165;0;0;1,9
17.04. 05:00;0,016022;0;0;2,4
17.04. 06:00;0,016234;0,3557;0,33947;3,2
17.04. 07:00;0,87277;2,1085;1,2357;2,8
17.04. 08:00;0,027325;4,2677;4,2403;2,5
17.04. 09:00;0,16829;6,0474;5,8791;1,9
17.04. 10:00;0,016499;7,5519;7,5354;1,8
17.04. 11:00;0,016203;8,512;8,4958;1,3
17.04. 12:00;0,016241;8,2096;8,1934;1,2
17.04. 13:00;0,016329;7,5296;7,5133;1,2
17.04. 14:00;0,16782;6,7304;6,5626;1,2
17.04. 15:00;0,016189;5,5878;5,5716;1,2
17.04. 16:00;0,016008;3,7798;3,7638;1,2
17.04. 17:00;1,5483;2,0449;0,49651;1,3
17.04. 18:00;0,63786;0,44166;0;1,5
17.04. 19:00;0,19853;0;0;2,1
17.04. 20:00;0,48115;0;0;2
17.04. 21:00;1,0181;0;0;2,4
17.04. 22:00;0,37687;0;0;1,6
17.04. 23:00;0,22535;0;0;1,2
18.04. 00:00;0,16411;0;0;1
18.04. 01:00;0,016326;0;0;1
18.04. 02:00;0,016108;0;0;1,2
18.04. 03:00;0,016135;0;0;1,4
18.04. 04:00;0,016229;0;0;1,5
18.04. 05:00;0,1673;0;0;1,5
18.04. 06:00;0,016227;0,003357;0;1,8
18.04. 07:00;0,85902;0,050011;0;1,2
18.04. 08:00;0,061186;1,4915;1,4303;1,1
18.04. 09:00;0,015995;0,97801;0,96201;1
18.04. 10:00;0,16821;4,8719;4,7037;0,9
18.04. 11:00;0,016168;9,97;9,9538;0,9
18.04. 12:00;0,016098;1,9121;1,896;0,8
18.04. 13:00;0,016231;0,99906;0,98283;0,8
18.04. 14:00;0,016077;0,45481;0,43874;0,8
18.04. 15:00;0,16516;1,9681;1,803;0,8
18.04. 16:00;0,016042;5,5027;5,4866;0,8
18.04. 17:00;1,2137;2,8813;1,6676;1
18.04. 18:00;1,0409;0,38066;0;1,1
18.04. 19:00;0,46163;0,0087859;0;1,2
18.04. 20:00;1,1316;0;0;1,2
18.04. 21:00;0,85498;0;0;1,2
18.04. 22:00;0,17699;0;0;0,7
18.04. 23:00;0,016031;0;0;0,6
19.04. 00:00;0,016342;0;0;0,8
19.04. 01:00;0,16902;0;0;1,2
19.04. 02:00;0,016316;0;0;1,4
19.04. 03:00;0,01612;0;0;1,5
19.04. 04:00;0,016307;0;0;1,5
19.04. 05:00;0,01626;0;0;2
19.04. 06:00;0,34662;0,29606;0;1,3
19.04. 07:00;0,061136;1,1139;1,0528;1,2
19.04. 08:00;0,06756;1,9465;1,8789;1,1
19.04. 09:00;0,016282;2,6438;2,6275;1
19.04. 10:00;0,016055;3,1777;3,1616;0,9
19.04. 11:00;0,16655;3,6919;3,5253;1
19.04. 12:00;0,016047;3,651;3,635;0,9
19.04. 13:00;0,01601;3,5073;3,4912;0,9
19.04. 14:00;0,016311;2,8218;2,8055;0,8
19.04. 15:00;0,016091;2,2288;2,2127;0,9
19.04. 16:00;0,16736;1,5406;1,3732;0,9
19.04. 17:00;1,4406;0,78724;0;1
19.04. 18:00;0,57311;0,1259;0;1,1
19.04. 19:00;0,016143;0;0;1,2
19.04. 20:00;0,3366;0;0;1,5
19.04. 21:00;0,69117;0;0;1,2
19.04. 22:00;0,32424;0;0;0,8
19.04. 23:00;0,01623;0;0;0,6
20.04. 00:00;0,015956;0;0;0,5
20.04. 01:00;0,016105;0;0;1,5
20.04. 02:00;0,16712;0;0;1,9
20.04. 03:00;0,016001;0;0;2
20.04. 04:00;0,016163;0;0;2,5
20.04. 05:00;0,016261;0;0;2,5
20.04. 06:00;0,1891;0,17447;0;2
20.04. 07:00;0,48152;0,78144;0,29992;1,5
20.04. 08:00;0,35867;1,7619;1,4032;1,4
20.04. 09:00;1,098;2,1154;1,0174;1,2
20.04. 10:00;3,3942;2,0273;0;1
20.04. 11:00;1,219;1,8973;0,67828;1
20.04. 12:00;0,88322;1,6353;0,75207;1
20.04. 13:00;3,6782;1,9441;0;1
20.04. 14:00;3,217;1,3767;0;0,9
20.04. 15:00;1,7798;1,3024;0;1
20.04. 16:00;0,35532;1,2791;0,92379;1
20.04. 17:00;1,0111;0,81211;0;1,1
20.04. 18:00;2,3387;0,18542;0;1,2
20.04. 19:00;0,2187;5,44E-05;0;1,3
20.04. 20:00;0,21486;0;0;1,4
20.04. 21:00;0,42124;0;0;1,4
20.04. 22:00;0,45603;0;0;0,7
20.04. 23:00;0,016241;0;0;0,6
21.04. 00:00;0,016189;0;0;1,3
21.04. 01:00;0,016151;0;0;1,8
21.04. 02:00;0,016161;0;0;1,9
21.04. 03:00;0,16821;0;0;2,3
21.04. 04:00;0,016155;0;0;2,9
21.04. 05:00;0,016046;0;0;2,5
21.04. 06:00;0,2053;0,50352;0,29822;1,6
21.04. 07:00;0,023602;1,4325;1,4089;1,1
21.04. 08:00;0,45417;2,5707;2,1165;1,2
21.04. 09:00;0,29721;4,2016;3,9044;1,4
21.04. 10:00;0,16267;4,6254;4,4628;1,4
21.04. 11:00;0,11994;4,6569;4,537;1,6
21.04. 12:00;0,93768;5,2195;4,2819;1,5
21.04. 13:00;0,83285;5,1061;4,2732;1,2
21.04. 14:00;1,008;4,4947;3,4867;1,1
21.04. 15:00;0,30839;4,2339;3,9255;1,1
21.04. 16:00;0,52592;2,8996;2,3736;1,2
21.04. 17:00;0,8104;2,054;1,2436;1,2
21.04. 18:00;0,63977;0,52397;0;1,3
21.04. 19:00;0,25805;0,00047794;0;1,4
21.04. 20:00;1,0539;0;0;1,4
21.04. 21:00;0,58975;0;0;1,3
21.04. 22:00;0,38693;0;0;0,8
21.04. 23:00;0,16766;0;0;0,6
22.04. 00:00;0,016072;0;0;0,5
22.04. 01:00;0,016325;0;0;0,9
22.04. 02:00;0,016395;0;0;1,7
22.04. 03:00;0,016069;0;0;2
22.04. 04:00;0,1687;0;0;1,5
22.04. 05:00;0,016121;0,00036151;0;1,5
22.04. 06:00;0,19533;0,53547;0,34015;0,9
22.04. 07:00;0,30346;2,5717;2,2682;0,9
22.04. 08:00;0,13748;4,4431;4,3056;1
22.04. 09:00;0,1649;7,0699;6,905;1,3
22.04. 10:00;0,01632;8,6222;8,6059;1,3
22.04. 11:00;0,016184;4,2447;4,2285;1,4
22.04. 12:00;0,016185;4,828;4,8118;1,2
22.04. 13:00;0,016221;1,3372;1,3209;1,1
22.04. 14:00;0,17092;1,8515;1,6806;1
22.04. 15:00;0,016144;1,0879;1,0717;1
22.04. 16:00;0,016155;0,17143;0,15527;1
22.04. 17:00;0,016136;0,039396;0,02326;1,1
22.04. 18:00;1,7297;0,0041223;0;1,1
22.04. 19:00;0,92968;0;0;1,3
22.04. 20:00;0,2499;0;0;1,2
22.04. 21:00;0,29825;0;0;1,1
22.04. 22:00;0,039084;0;0;0,8
22.04. 23:00;0,016126;0;0;0,8
23.04. 00:00;0,16813;0;0;1
23.04. 01:00;0,016134;0;0;1,2
23.04. 02:00;0,016135;0;0;1,2
23.04. 03:00;0,016087;0;0;1,4
23.04. 04:00;0,016291;0;0;2,3
23.04. 05:00;0,16716;0;0;1,9
23.04. 06:00;0,34532;0,023629;0;2
23.04. 07:00;0,59605;0,2047;0;1,4
23.04. 08:00;0,15815;0,54744;0,38929;1,2
23.04. 09:00;0,016107;0,89586;0,87976;1,1
23.04. 10:00;0,16603;1,0897;0,92372;1
23.04. 11:00;0,015985;1,1502;1,1343;0,9
23.04. 12:00;0,016332;1,0591;1,0428;0,9
23.04. 13:00;0,016161;1,0897;1,0735;0,9
23.04. 14:00;0,016043;0,90842;0,89237;0,8
23.04. 15:00;0,16694;0,67489;0,50795;0,9
23.04. 16:00;0,016183;0,49003;0,47384;0,9
23.04. 17:00;1,1779;0,19906;0;1
23.04. 18:00;1,3069;0,022876;0;1,1
23.04. 19:00;0,52586;0;0;1,2
23.04. 20:00;1,3259;0;0;1,3
23.04. 21:00;0,28947;0;0;1,3
23.04. 22:00;0,12693;0;0;0,7
23.04. 23:00;0,016144;0;0;0,5
24.04. 00:00;0,016178;0;0;0,5
24.04. 01:00;0,16554;0;0;0,5
24.04. 02:00;0,016172;0;0;0,4
24.04. 03:00;0,016226;0;0;0,4
24.04. 04:00;0,01625;0;0;0,5
24.04. 05:00;0,016177;0,00013663;0;0,9
24.04. 06:00;0,3727;0,48957;0,11687;1,4
24.04. 07:00;0,4322;1,2814;0,84924;1,5
24.04. 08:00;0,044396;1,654;1,6096;1,2
24.04. 09:00;0,016105;2,4759;2,4598;1,1
24.04. 10:00;0,01614;2,9018;2,8857;1,1
24.04. 11:00;0,16482;3,3726;3,2078;1
24.04. 12:00;0,016072;3,6491;3,6331;0,9
24.04. 13:00;0,016167;3,4818;3,4656;0,9
24.04. 14:00;0,016207;3,31;3,2938;1
24.04. 15:00;0,016043;2,7568;2,7407;0,9
24.04. 16:00;0,16761;1,8145;1,6469;1
24.04. 17:00;1,1274;0,88132;0;1,4
24.04. 18:00;0,91387;0,20912;0;1,9
24.04. 19:00;0,016245;0;0;2,7
24.04. 20:00;0,13819;0;0;2,8
24.04. 21:00;0,95125;0;0;2,8
24.04. 22:00;0,43819;0;0;2,5
24.04. 23:00;0,016253;0;0;2,2
25.04. 00:00;0,016098;0;0;2
25.04. 01:00;0,016256;0;0;2
25.04. 02:00;0,16503;0;0;2
25.04. 03:00;0,016303;0;0;2
25.04. 04:00;0,016186;0;0;2,3
25.04. 05:00;0,01611;0;0;2,4
25.04. 06:00;0,20341;0,21699;0,013574;2,7
25.04. 07:00;0,89595;0,84046;0;2,3
25.04. 08:00;0,10994;1,398;1,2881;1,8
25.04. 09:00;0,016094;1,8206;1,8045;1,4
25.04. 10:00;0,016116;2,1472;2,1311;1,3
25.04. 11:00;0,016272;2,4009;2,3847;1,2
25.04. 12:00;0,16622;2,4834;2,3172;1,2
25.04. 13:00;0,016193;2,4173;2,4011;1,2
25.04. 14:00;0,016142;2,0797;2,0635;1,1
25.04. 15:00;0,016189;1,7661;1,7499;1,2
25.04. 16:00;0,016172;1,3127;1,2965;1,2
25.04. 17:00;1,3384;0,76099;0;1,4
25.04. 18:00;1,4461;0,15496;0;1,5
25.04. 19:00;0,13632;0;0;2
25.04. 20:00;0,20695;0;0;2,1
25.04. 21:00;0,4503;0;0;2,1
25.04. 22:00;0,65517;0;0;1,4
25.04. 23:00;0,13712;0;0;1,4
26.04. 00:00;0,016098;0;0;1,7
26.04. 01:00;0,016234;0;0;1,6
26.04. 02:00;0,016105;0;0;1,6
26.04. 03:00;0,1647;0;0;1,9
26.04. 04:00;0,01618;0;0;2,1
26.04. 05:00;0,016061;0,0002751;0;3
26.04. 06:00;0,19382;0,63885;0,44503;3,9
26.04. 07:00;0,66434;1,5398;0,87544;3,6
26.04. 08:00;0,53555;2,4216;1,886;3,1
26.04. 09:00;0,23457;4,8423;4,6077;2,6
26.04. 10:00;0,016136;4,2447;4,2286;2,3
26.04. 11:00;0,016164;5,2305;5,2143;2,2
26.04. 12:00;0,016226;4,4857;4,4695;1,8
26.04. 13:00;0,16325;5,5507;5,3874;1,5
26.04. 14:00;0,016226;3,8796;3,8633;1,5
26.04. 15:00;0,016102;3,0652;3,0491;1,6
26.04. 16:00;0,016252;1,4455;1,4293;1,7
26.04. 17:00;0,016174;0,92475;0,90857;1,7
26.04. 18:00;1,302;0,35005;0;2,9
26.04. 19:00;0,88885;0;0;3,5
26.04. 20:00;0,3454;0;0;3,6
26.04. 21:00;0,53548;0;0;3,5
26.04. 22:00;0,29732;0;0;2,7
26.04. 23:00;0,1651;0;0;2,2
27.04. 00:00;0,016281;0;0;2,2
27.04. 01:00;0,016299;0;0;2,6
27.04. 02:00;0,016143;0;0;2,5
27.04. 03:00;0,016132;0;0;2,8
27.04. 04:00;0,16817;0;0;2,5
27.04. 05:00;0,016207;0,0023746;0;3,8
27.04. 06:00;0,20102;0,58881;0,38779;5,4
27.04. 07:00;0,36637;1,8229;1,4565;4,8
27.04. 08:00;0,30492;2,5998;2,2948;4,5
27.04. 09:00;0,65276;4,2054;3,5526;3,4
27.04. 10:00;1,0638;5,3843;4,3205;4,1
27.04. 11:00;3,4917;5,3415;1,8499;3,9
27.04. 12:00;1,8389;4,6913;2,8525;3,4
27.04. 13:00;1,1009;4,3158;3,2148;3,3
27.04. 14:00;2,2521;5,0741;2,822;2,9
27.04. 15:00;0,15744;3,7124;3,555;2,9
27.04. 16:00;0,69963;1,7674;1,0677;3,6
27.04. 17:00;0,90529;1,3601;0,45481;3,6
27.04. 18:00;1,4606;0,58537;0;3,8
27.04. 19:00;1,1161;0,0016334;0;4,8
27.04. 20:00;0,43289;0;0;5,2
27.04. 21:00;1,0326;0;0;5,1
27.04. 22:00;0,40833;0;0;3,2
27.04. 23:00;0,016391;0;0;2,6
28.04. 00:00;0,16462;0;0;2,6
28.04. 01:00;0,016305;0;0;2,5
28.04. 02:00;0,016166;0;0;2,5
28.04. 03:00;0,016205;0;0;2,8
28.04. 04:00;0,015963;0;0;3,1
28.04. 05:00;0,16562;0,0019936;0;4,1
28.04. 06:00;0,19338;0,67995;0,48657;5,1
28.04. 07:00;0,35229;2,0738;1,7215;4,8
28.04. 08:00;0,041;4,2686;4,2276;4,5
28.04. 09:00;0,097077;5,5959;5,4989;4
28.04. 10:00;0,17334;6,9767;6,8033;4
28.04. 11:00;0,35947;7,0071;6,6476;4,3
28.04. 12:00;0,94987;7,7462;6,7964;3,7
28.04. 13:00;0,1117;6,127;6,0153;3,6
28.04. 14:00;1,2592;6,5172;5,258;3,3
28.04. 15:00;1,3309;4,2333;2,9024;3,4
28.04. 16:00;0,85579;3,1215;2,2657;3,9
28.04. 17:00;0,31245;1,9459;1,6334;3,4
28.04. 18:00;0,25261;0,6314;0,37878;4,1
28.04. 19:00;0,50331;0,0027741;0;5
28.04. 20:00;0,30906;0;0;5,5
28.04. 21:00;0,83974;0;0;5,4
28.04. 22:00;0,5186;0;0;4,2
28.04. 23:00;0,01623;0;0;3,8
29.04. 00:00;0,015963;0;0;4,1
29.04. 01:00;0,16722;0;0;3,9
29.04. 02:00;0,016215;0;0;4
29.04. 03:00;0,016168;0;0;4,3
29.04. 04:00;0,01603;0;0;4,6
29.04. 05:00;0,016206;0;0;5,8
29.04. 06:00;0,33478;0,14682;0;6,5
